gene,cyst_position,tryp_position,phen_position,aligned_seq
TRDJ1*01,,,17,
TRDJ2*01,,,25,
TRDJ2*02,,,24,
TRDV6D-2*01,273,,,
TRDV6D-2*02,273,,,
TRDV6D-2*03,273,,,
TRDV6D-2*04,270,,,
TRDV6D-2*05,270,,,
TRDV12*01,261,,,
TRDV12*02,261,,,
TRDV5*01,279,,,
TRDV5*03,279,,,
TRDV5*02,279,,,
TRDV5*04,279,,,
TRDV6-1*01,273,,,
TRDV6-1*02,273,,,
TRDV7*02,258,,,
TRDV7*01,258,,,
TRDV9*08,158,,,
TRDV9*04,240,,,
TRDV9*07,234,,,
TRDV9*06,237,,,
TRDV9*01,267,,,
TRDV9*03,267,,,
TRDV9*02,267,,,
TRDV6-2*01,270,,,
TRDV2-1*01,270,,,
TRDV6-2*02,267,,,
TRDV4*01,273,,,
TRDV2-2*01,270,,,
TRDV2-2*02,270,,,
TRDV6D-1*05,270,,,
TRDV6D-1*01,273,,,
TRDV6D-1*03,273,,,
TRDV6D-1*02,273,,,
TRDV1*01,264,,,
TRDV6D-1*04,270,,,
TRDV6D-1*06,270,,,
TRDV10*01,261,,,
TRDV7*03,258,,,
TRDV8*07,267,,,
TRDV8*04,240,,,
TRDV8*05,267,,,
TRDV8*02,267,,,
TRDV8*03,267,,,
TRDV8*01,267,,,
TRDV11*01,273,,,
TRDV8*06,267,,,
TRDV11*03,273,,,
TRDV11*02,273,,,
TRDV8*08,267,,,
