gene,cyst_position,tryp_position,phen_position,aligned_seq
IGHJ4*01,,14,,
IGHJ1*01,,18,,
IGHJ5-2*01,,17,,
IGHJ3*01,,16,,
IGHJ5-2*02,,17,,
IGHJ6*01,,20,,
IGHJ5-1*01,,17,,
IGHV3-22*01,285,,,
IGHV4-2*01,285,,,
IGHV3-20*01,291,,,
IGHV2-1*01,288,,,
IGHV7-1*01,285,,,
IGHV5-2*01,285,,,
IGHV3-21*01,279,,,
IGHV3-5*01,291,,,
IGHV3-6*01,291,,,
IGHV1-1*01,285,,,
IGHV6-1*01,294,,,
IGHV3-9*01,285,,,
IGHV3-10*01,285,,,
IGHV3-7*01,285,,,
IGHV3-14*01,285,,,
IGHV3-11*01,279,,,
IGHV3-13*01,291,,,
IGHV3-12*01,291,,,
IGHV3-18*01,291,,,
