gene,cyst_position,tryp_position,phen_position,aligned_seq
IGHJ1*03,,19,,
IGHJ2*03,,12,,
IGHJ1*01,,19,,
IGHJ2*01,,14,,
IGHJ3*01,,14,,
IGHJ2*02,,14,,
IGHJ4*01,,20,,
IGHJ1*02,,19,,
IGHV-FVAY*x,285,,,
IGHV1-55*04,252,,,
IGHV-NUDM*x,312,,,
IGHV9-2*02,285,,,
IGHV9-2*01,285,,,
IGHV7-4*02,291,,,
IGHV7-4*03,291,,,
IGHV1-15*01,285,,,
IGHV7-4*01,291,,,
IGHV7-4*04,291,,,
IGHV-5F5R*x,282,,,
IGHV-GFFP*x,285,,,
IGHV5S21*01,285,,,
IGHV1S5*01,285,,,
IGHV-NFFP*x,288,,,
IGHV-OCOS*x,285,,,
IGHV5-4*01,285,,,
IGHV5-4*02,285,,,
IGHV5-4*03,285,,,
IGHV9S8*01,285,,,
IGHV-ZIT7*x,285,,,
IGHV-A3LZ*x,285,,,
IGHV-HK55*x,285,,,
IGHV1-47*01,285,,,
IGHV15-2*02,288,,,
IGHV15-2*01,288,,,
IGHV-OK63*x,285,,,
IGHV3-2*02,285,,,
IGHV5S24*01,285,,,
IGHV2-6-3*01,279,,,
IGHV1-19*01,285,,,
IGHV1-84*01,285,,,
IGHV-4T4X*x,285,,,
IGHV1-84*02,285,,,
IGHV-ES4V*x,285,,,
IGHV5-6-3*01,285,,,
IGHV5-6-3*02,219,,,
IGHV-T2W5*x,285,,,
IGHV1S14*01,285,,,
IGHV3-4*02,288,,,
IGHV-APOU*x,285,,,
IGHV3-4*01,288,,,
IGHV14-4*02,285,,,
IGHV14-4*01,285,,,
IGHV1-77*01,285,,,
IGHV1S29*02,285,,,
IGHV6-7*01,291,,,
IGHV6-7*02,291,,,
IGHV1-82*01,285,,,
IGHV1-5*01,285,,,
IGHV12-2-1*01,288,,,
IGHV-DMIT*x,285,,,
IGHV-W27J*x,285,,,
IGHV1S61*01,285,,,
IGHV1-62-1*01,283,,,
IGHV-RLDP*x,285,,,
IGHV-5UNX*x,285,,,
IGHV-5O75*x,285,,,
IGHV-56YB*x,288,,,
IGHV-32WJ*x,288,,,
IGHV5-9-5*01,285,,,
IGHV5-6*02,285,,,
IGHV1S100*01,253,,,
IGHV1-22*01,285,,,
IGHV1-52*01,285,,,
IGHV-MGBE*x,291,,,
IGHV1S126*01,285,,,
IGHV5-6-2*02,252,,,
IGHV2-9-2*01,282,,,
IGHV1-49*01,285,,,
IGHV2S3*01,282,,,
IGHV5-9-3*01,285,,,
IGHV1S53*03,285,,,
IGHV1S53*02,285,,,
IGHV1S53*01,285,,,
IGHV-WO3N*x,285,,,
IGHV-CFNH*x,285,,,
IGHV7-3*03,291,,,
IGHV7-3*02,291,,,
IGHV7-3*01,291,,,
IGHV1-12*01,285,,,
IGHV7-3*04,291,,,
IGHV8-11*01,288,,,
IGHV1S81*02,285,,,
IGHV2-3*01,282,,,
IGHV5-12*02,285,,,
IGHV5-12*03,285,,,
IGHV5-12*01,285,,,
IGHV2-2*03,282,,,
IGHV2-2*02,282,,,
IGHV2-2*01,282,,,
IGHV5-2*02,285,,,
IGHV1-53*04,252,,,
IGHV5-2*01,285,,,
IGHV1-53*01,285,,,
IGHV1-87*01,285,,,
IGHV1-53*03,252,,,
IGHV1-53*02,252,,,
IGHV-TI7Q*x,288,,,
IGHV1S21*02,222,,,
IGHV1S21*01,230,,,
IGHV5-2*03,285,,,
IGHV1S36*02,285,,,
IGHV1S36*01,285,,,
IGHV14-1*01,285,,,
IGHV14-1*02,285,,,
IGHV6-5*01,291,,,
IGHV9-3*01,285,,,
IGHV9-3*03,285,,,
IGHV9-3*02,285,,,
IGHV1S47*01,285,,,
IGHV1-59*01,285,,,
IGHV1-69*01,285,,,
IGHV1-69*02,285,,,
IGHV1-69*03,252,,,
IGHV2-6-2*01,282,,,
IGHV2-5*01,282,,,
IGHV1-4*01,285,,,
IGHV1-4*02,285,,,
IGHV9-1*02,285,,,
IGHV9-1*01,285,,,
IGHV-7MU3*x,285,,,
IGHV1S122*01,252,,,
IGHV1-43*01,285,,,
IGHV1S137*01,285,,,
IGHV2-6-8*01,282,,,
IGHV-KPEP*x,285,,,
IGHV1-39*01,285,,,
IGHV-AX4W*x,285,,,
IGHV2-9-1*01,282,,,
IGHV1-18*01,285,,,
IGHV1-18*02,253,,,
IGHV4-2*02,285,,,
IGHV1-55*03,252,,,
IGHV1-55*02,252,,,
IGHV1-55*01,285,,,
IGHV-PRJX*x,291,,,
IGHV2-2-2*01,282,,,
IGHV-BISP*x,285,,,
IGHV-JDDE*x,288,,,
IGHV1-37*01,285,,,
IGHV1S46*01,285,,,
IGHV1S113*02,253,,,
IGHV1S132*01,285,,,
IGHV1-14*01,285,,,
IGHV-AXRQ*x,288,,,
IGHV9-3-1*01,285,,,
IGHV5-9-4*01,285,,,
IGHV1S26*01,285,,,
IGHV-AEY5*x,285,,,
IGHV1-78*01,285,,,
IGHV1S56*01,285,,,
IGHV-2UQD*x,285,,,
IGHV-AK3H*x,291,,,
IGHV7-2*01,291,,,
IGHV-MG5V*x,291,,,
IGHV-22XF*x,285,,,
IGHV-KAOG*x,286,,,
IGHV10-3*03,291,,,
IGHV11-1*02,285,,,
IGHV11-1*01,285,,,
IGHV12-1-1*01,288,,,
IGHV-N4AL*x,282,,,
IGHV-GNPX*x,291,,,
IGHV5-15*05,285,,,
IGHV5-15*04,285,,,
IGHV5-15*03,252,,,
IGHV5-15*02,285,,,
IGHV5-15*01,285,,,
IGHV5-12-1*01,285,,,
IGHV5-9-1*01,285,,,
IGHV-KQPM*x,285,,,
IGHV-CZGQ*x,285,,,
IGHV-NPBL*x,285,,,
IGHV1S20*01,242,,,
IGHV1S20*02,240,,,
IGHV3S1*02,282,,,
IGHV3S1*01,282,,,
IGHV2-6*03,282,,,
IGHV10-1*01,291,,,
IGHV10-1*02,291,,,
IGHV5S4*01,285,,,
IGHV10-3*02,291,,,
IGHV13-2*01,291,,,
IGHV13-2*02,291,,,
IGHV13-2*03,291,,,
IGHV1S40*01,285,,,
IGHV-XN3Q*x,285,,,
IGHV1-16*01,285,,,
IGHV2-6*02,282,,,
IGHV2-5-1*01,282,,,
IGHV1S49*01,285,,,
IGHV1S136*01,285,,,
IGHV1-24*01,285,,,
IGHV5-12-2*02,252,,,
IGHV5-12-2*01,285,,,
IGHV-YEPS*x,285,,,
IGHV-BT4I*x,285,,,
IGHV-4L6T*x,285,,,
IGHV-Z6OV*x,285,,,
IGHV-DUV7*x,285,,,
IGHV5-12-4*01,285,,,
IGHV1S120*01,252,,,
IGHV1S120*02,252,,,
IGHV4-1*01,285,,,
IGHV4-1*02,285,,,
IGHV-HZPW*x,288,,,
IGHV-5LN7*x,285,,,
IGHV2-9*02,282,,,
IGHV5-6*03,285,,,
IGHV5-6*01,285,,,
IGHV-RNSW*x,282,,,
IGHV-SF4U*x,285,,,
IGHV6-3*01,291,,,
IGHV6-3*02,291,,,
IGHV6-3*03,291,,,
IGHV1-66*01,285,,,
IGHV3-5*01,288,,,
IGHV3-5*02,288,,,
IGHV-QG3Z*x,285,,,
IGHV1-76*01,285,,,
IGHV-LAH4*x,285,,,
IGHV1-74*02,252,,,
IGHV1-74*03,252,,,
IGHV1-74*01,285,,,
IGHV1-74*04,285,,,
IGHV-QSRD*x,285,,,
IGHV1S111*01,252,,,
IGHV1-9*01,285,,,
IGHV1-63*02,285,,,
IGHV5-9-2*01,285,,,
IGHV1-81*01,285,,,
IGHV-R4HE*x,288,,,
IGHV1-72*03,252,,,
IGHV1S52*01,285,,,
IGHV1S113*01,252,,,
IGHV1S118*01,253,,,
IGHV5-9*04,285,,,
IGHV5-9*03,285,,,
IGHV5-9*02,285,,,
IGHV2-6*01,282,,,
IGHV13-1*02,291,,,
IGHV12-3*01,285,,,
IGHV12-3*02,285,,,
IGHV5-6-6*01,285,,,
IGHV-3GCO*x,285,,,
IGHV1-17-1*01,285,,,
IGHV1-71*01,285,,,
IGHV-72VE*x,285,,,
IGHV1S55*01,285,,,
IGHV-SX5D*x,285,,,
IGHV1-71*02,276,,,
IGHV14S4*01,282,,,
IGHV-ZD3D*x,282,,,
IGHV-LUL4*x,285,,,
IGHV8-6*01,288,,,
IGHV3-8*02,282,,,
IGHV1S12*01,285,,,
IGHV3-8*01,282,,,
IGHV1S130*01,285,,,
IGHV5-6-1*01,285,,,
IGHV-TUT5*x,285,,,
IGHV11-2*02,285,,,
IGHV11-2*01,285,,,
IGHV1-20*02,285,,,
IGHV1-20*01,285,,,
IGHV-ZOKF*x,285,,,
IGHV-UJTO*x,285,,,
IGHV2-4*01,282,,,
IGHV2-4*02,282,,,
IGHV1S121*01,252,,,
IGHV1-62-2*01,285,,,
IGHV8-12*01,288,,,
IGHV-ZOZI*x,285,,,
IGHV-DRA4*x,285,,,
IGHV-RYF3*x,288,,,
IGHV-QFGX*x,288,,,
IGHV5-6-4*01,285,,,
IGHV-ZVAP*x,285,,,
IGHV5-6-4*02,285,,,
IGHV1-54*01,285,,,
IGHV1-54*02,285,,,
IGHV1-54*03,285,,,
IGHV-G6P5*x,285,,,
IGHV-7PG3*x,285,,,
IGHV-LP2Z*x,285,,,
IGHV1-75*01,285,,,
IGHV1S112*02,253,,,
IGHV-OW3E*x,285,,,
IGHV1S127*01,285,,,
IGHV8-4*01,288,,,
IGHV1-36*01,285,,,
IGHV-QQ46*x,285,,,
IGHV16-1*01,288,,,
IGHV1-80*01,285,,,
IGHV2-6-5*01,282,,,
IGHV8-8*01,288,,,
IGHV-R7KA*x,285,,,
IGHV2-7*01,282,,,
IGHV1-31*01,285,,,
IGHV6-5*02,291,,,
IGHV5S12*01,255,,,
IGHV-GC2L*x,285,,,
IGHV-5ISV*x,288,,,
IGHV-AE2O*x,285,,,
IGHV5-17*01,285,,,
IGHV-W52N*x,285,,,
IGHV1S107*01,253,,,
IGHV-6CYM*x,285,,,
IGHV5-9*01,285,,,
IGHV1-58*01,285,,,
IGHV1-56*02,285,,,
IGHV1-56*01,285,,,
IGHV1S135*01,285,,,
IGHV3-6*01,285,,,
IGHV3-6*02,285,,,
IGHV3-6*03,285,,,
IGHV-AX4R*x,285,,,
IGHV1S41*01,258,,,
IGHV1-85*01,285,,,
IGHV-3QLH*x,285,,,
IGHV2-6-7*01,282,,,
IGHV2-6-7*02,282,,,
IGHV14-3*02,285,,,
IGHV14-3*01,285,,,
IGHV-SR2I*x,285,,,
IGHV1-62-3*02,252,,,
IGHV1-62-3*01,285,,,
IGHV-X4X2*x,285,,,
IGHV-KRVC*x,288,,,
IGHV-UDF7*x,278,,,
IGHV5-16*02,285,,,
IGHV5-16*01,285,,,
IGHV1S30*02,276,,,
IGHV5-6-5*01,282,,,
IGHV-JAPR*x,285,,,
IGHV-BIQU*x,285,,,
IGHV9-4*01,285,,,
IGHV9-4*02,285,,,
IGHV-IZSN*x,285,,,
IGHV8-5*01,288,,,
IGHV2-4-1*01,282,,,
IGHV-6NFG*x,285,,,
IGHV-RNDH*x,285,,,
IGHV1S103*01,253,,,
IGHV-4YZL*x,285,,,
IGHV1-18*03,252,,,
IGHV1S50*01,285,,,
IGHV1-64*02,252,,,
IGHV1-64*01,285,,,
IGHV1-11*01,285,,,
IGHV-TQES*x,288,,,
IGHV1S134*01,285,,,
IGHV-QK6G*x,285,,,
IGHV1-50*01,285,,,
IGHV-ID7Q*x,285,,,
IGHV10S4*01,291,,,
IGHV2-6-4*01,282,,,
IGHV-2UIT*x,285,,,
IGHV-KO4L*x,285,,,
IGHV-3XVE*x,291,,,
IGHV9-2-1*01,285,,,
IGHV5-9-1*02,285,,,
IGHV2-6-1*01,282,,,
IGHV-F5K7*x,285,,,
IGHV10S3*01,291,,,
IGHV1-7*01,285,,,
IGHV-V6Q4*x,285,,,
IGHV2-9*01,282,,,
IGHV-PEXG*x,285,,,
IGHV1-42*02,253,,,
IGHV1-42*01,285,,,
IGHV7-1*03,291,,,
IGHV7-1*02,291,,,
IGHV1S108*01,253,,,
IGHV1-61*01,285,,,
IGHV-OSZZ*x,312,,,
IGHV1-72*05,252,,,
IGHV8-8-1*01,288,,,
IGHV1-63*01,285,,,
IGHV1-72*01,285,,,
IGHV1-72*02,252,,,
IGHV2-6-6*01,282,,,
IGHV14-2*01,285,,,
IGHV6-4*01,291,,,
IGHV10-3*01,291,,,
IGHV1S35*01,285,,,
IGHV6-4*02,291,,,
IGHV-2KUO*x,285,,,
IGHV3-3*01,285,,,
IGHV-HHVI*x,285,,,
IGHV1-26*01,285,,,
IGHV6-6*02,291,,,
IGHV6-6*01,291,,,
IGHV-GPEO*x,285,,,
IGHV1-72*04,285,,,
IGHV3S7*01,282,,,
IGHV5-17*03,285,,,
IGHV5-17*02,285,,,
IGHV2-3-1*01,282,,,
IGHV-SCRF*x,288,,,
IGHV1S45*01,285,,,
IGHV1-34*02,285,,,
IGHV1-34*01,285,,,
IGHV-KRG4*x,285,,,
IGHV5-6-2*01,285,,,
IGHV-CWNQ*x,285,,,
IGHV1S22*01,276,,,
IGHV-ROYG*x,285,,,
IGHV-7TJA*x,285,,,
IGHV1-23*01,285,,,
IGHV3-1*01,285,,,
IGHV3-1*02,285,,,
