gene,cyst_position,tryp_position,phen_position,aligned_seq
IGHJ1*01,,18,,
IGHJ2*01,,19,,
IGHJ3*02,,16,,
IGHJ6*03,,29,,
IGHJ4*02,,14,,
IGHJ5*02,,17,,
IGHV3-23*04,285,,,
IGHV2-70D*04,288,,,
IGHV1-69*06,285,,,
IGHV3-30-5*01,285,,,
IGHV3-72*01,291,,,
IGHV1-69-2*01,285,,,
IGHV3-74*01,285,,,
IGHV3-53*02,282,,,
IGHV2-5*02,288,,,
IGHV4-30-2*01,288,,,
IGHV3-30-3*03,285,,,
IGHV3-43*01,285,,,
IGHV3-64D*06,285,,,
IGHV4-61*07,216,,,
IGHV3-43D*01,285,,,
IGHV2-70D*14,288,,,
IGHV4-61*06,216,,,
IGHV2-70*01,288,,,
IGHV4-39*01,288,,,
IGHV3-20*02,285,,,
IGHV1-69D*01,285,,,
IGHV1-45*01,285,,,
IGHV4-30-4*06,216,,,
IGHV3-64*02,285,,,
IGHV4-34*01,282,,,
IGHV5-10-1*03,285,,,
IGHV3-7*03,285,,,
IGHV5-51*01,285,,,
IGHV3-49*04,291,,,
IGHV3-73*02,291,,,
IGHV3-23D*01,285,,,
IGHV1-46*01,285,,,
IGHV4-30-2*04,216,,,
IGHV3-23D*02,285,,,
IGHV4-34*13,210,,,
IGHV3-30-5*02,285,,,
IGHV3-30*18,285,,,
IGHV3-15*01,291,,,
IGHV2-26*01,288,,,
IGHV3-48*03,285,,,
IGHV1-2*04,285,,,
IGHV7-4-1*01,285,,,
IGHV4-61*01,288,,,
IGHV1-2*03,285,,,
IGHV4-4*02,285,,,
IGHV3-66*03,282,,,
IGHV4-4*06,213,,,
IGHV3-33*01,285,,,
IGHV1-58*01,285,,,
IGHV1-3*01,285,,,
IGHV4-28*07,285,,,
IGHV3-21*01,285,,,
IGHV1-45*02,285,,,
IGHV6-1*01,294,,,
IGHV1-18*04,285,,,
IGHV3-13*05,282,,,
IGHV4-59*01,282,,,
IGHV3-11*06,285,,,
IGHV1-24*01,285,,,
IGHV4-59*09,210,,,
