v_5p_del,v_gene,count
208,IGHV1-18*01,1
200,IGHV3-7*03,12
221,IGHV5-51*02,1
239,IGHV3-30*15,29
236,IGHV3-23*04,26
206,IGHV1-69*10,12
139,IGHV4-61*07,2
209,IGHV1-69*10,3
239,IGHV1-2*03,5
170,IGHV4-34*13,9
230,IGHV3-74*03,4
221,IGHV3-30*05,1
206,IGHV3-33*03,1
230,IGHV3-19*01,1
158,IGHV4-59*09,11
237,IGHV3-64*04,1
208,IGHV5-a*02,7
233,IGHV3-35*01,1
209,IGHV5-51*03,1
161,IGHV4-34*13,9
215,IGHV1/OR15-4*01,7
209,IGHV4-4*07,17
206,IGHV3-23*02,2
208,IGHV1-f*01,2
233,IGHV1/OR21-1*01,1
230,IGHV4-59*08,6
200,IGHV1-2*04,1
239,IGHV3-d*01,1
236,IGHV4-39*06,10
218,IGHV3-53*01,22
205,IGHV3-h*02,26
214,IGHV3-15*07,1
260,IGHV6-1*02,1
191,IGHV2-26*01,1
203,IGHV4-34*11,1
164,IGHV4-30-4*06,38
215,IGHV3-h*02,1
206,IGHV3-53*02,3
236,IGHV4-30-2*91,13
230,IGHV3-64*04,4
230,IGHV4-59*91,2
215,IGHV4-59*10,1
233,IGHV3-30*15,11
230,IGHV4-61*02,1
230,IGHV3-66*03,7
230,IGHV3-13*04,3
208,IGHV3-11*04,4
233,IGHV1/OR15-1*04,1
239,IGHV1/OR15-1*04,2
224,IGHV1/OR15-1*02,1
215,IGHV4-61*03,3
209,IGHV3-20*91,14
227,IGHV3-71*01,4
140,IGHV4-61*07,1
203,IGHV4-59*10,6
215,IGHV4-30-2*91,1
212,IGHV4-61*03,3
221,IGHV1-3*02,2
233,IGHV3-53*04,2
236,IGHV1-18*01,8
212,IGHV4-30-2*91,2
230,IGHV3-h*01,35
242,IGHV3-71*02,1
146,IGHV4-34*13,1
200,IGHV3-53*01,1
209,IGHV3-NL1*01,47
209,IGHV3-71*03,1
206,IGHV5-51*04,5
233,IGHV3-64*91,1
221,IGHV3-30*15,14
188,IGHV3-23*04,2
212,IGHV4-4*07,1
206,IGHV1-3*01,21
208,IGHV3-33*03,2
233,IGHV1-8*91,4
188,IGHV3/OR16-9*01,1
227,IGHV3-71*02,1
218,IGHV3-NL1*01,2
236,IGHV1-2*03,4
203,IGHV1-46*03,1
233,IGHV3-20*91,10
233,IGHV3-53*03,2
227,IGHV3-66*01,8
182,IGHV3-h*02,2
239,IGHV1/OR15-3*02,3
218,IGHV3-71*01,1
239,IGHV1-46*03,2
227,IGHV3-13*04,1
197,IGHV3-53*03,20
224,IGHV3-72*01,2
200,IGHV3-43*91,1
197,IGHV3-66*03,27
236,IGHV3/OR16-12*01,1
212,IGHV2-70*13,1
221,IGHV3-53*04,1
233,IGHV4-39*02,1
170,IGHV4-30-4*06,3
260,IGHV1-2*03,2
233,IGHV3-66*03,1
205,IGHV3-53*02,5
206,IGHV7-81*01,1
212,IGHV3-23*04,7
209,IGHV3-30*15,2
185,IGHV4-34*05,1
185,IGHV3-66*03,1
238,IGHV3-74*03,1
245,IGHV3-72*01,7
206,IGHV3-64*04,4
208,IGHV3-7*03,1
242,IGHV3-53*04,1
221,IGHV5-51*04,1
200,IGHV3-h*02,4
236,IGHV3-33*02,66
158,IGHV4-34*13,43
236,IGHV4-30-4*02,1
203,IGHV3-23*04,1
215,IGHV1-8*91,12
208,IGHV1-69*13,10
209,IGHV3-15*07,3
161,IGHV4-59*09,1
224,IGHV3-15*07,4
188,IGHV1-18*01,7
191,IGHV4-34*05,1
208,IGHV3-9*91,1
254,IGHV1-8*91,1
224,IGHV1-18*01,2
233,IGHV1-24*01,2
208,IGHV3-74*03,6
227,IGHV5-51*02,1
205,IGHV3/OR16-10*03,1
236,IGHV3/OR16-8*01,1
200,IGHV4/OR15-8*03,1
200,IGHV3-33*06,9
251,IGHV3-h*02,2
230,IGHV3-33*05,4
212,IGHV1-58*02,1
176,IGHV4-30-4*06,1
163,IGHV4-61*06,1
206,IGHV5-a*04,2
206,IGHV4-61*02,5
188,IGHV1-24*01,2
215,IGHV3-49*05,4
236,IGHV3-9*02,3
227,IGHV3-23*04,1
221,IGHV3-64*04,98
233,IGHV3-64*04,14
245,IGHV1-3*01,1
218,IGHV3-53*03,1
188,IGHV1-46*02,4
188,IGHV5-51*02,1
230,IGHV1/OR15-3*02,1
188,IGHV1-f*01,26
221,IGHV3-73*02,32
194,IGHV3-74*03,1
194,IGHV3-h*02,4
224,IGHV3-73*02,3
209,IGHV1-8*91,5
206,IGHV3-NL1*01,3
239,IGHV3/OR16-8*01,5
251,IGHV3-9*02,1
224,IGHV1-f*01,1
233,IGHV3-33*06,1
212,IGHV3-15*07,5
218,IGHV3-23*04,15
224,IGHV2-70*12,3
215,IGHV3-9*02,1
206,IGHV1/OR15-3*03,1
203,IGHV3-h*01,26
221,IGHV3-h*02,1
197,IGHV3-h*01,120
221,IGHV3-35*01,1
224,IGHV1-46*02,3
220,IGHV3-NL1*01,4
223,IGHV1-46*02,1
143,IGHV4-30-4*06,14
206,IGHV1-24*01,6
209,IGHV4/OR15-8*02,7
209,IGHV3-23*04,52
236,IGHV3-48*02,1
206,IGHV3-7*03,3
239,IGHV3-NL1*01,215
209,IGHV3-11*04,7
245,IGHV3/OR16-6*02,2
203,IGHV3-48*02,1
209,IGHV3-64*04,29
230,IGHV1/OR15-4*01,1
245,IGHV3-73*02,6
212,IGHV3-72*01,1
218,IGHV3-9*02,1
260,IGHV1/OR15-3*02,1
239,IGHV3-35*01,2
206,IGHV3-15*07,5
221,IGHV3-33*02,4
254,IGHV4-61*08,1
220,IGHV3-30*15,1
215,IGHV5-51*02,4
239,IGHV4-61*02,4
248,IGHV4/OR15-8*03,1
209,IGHV1-18*01,3
237,IGHV3-33*02,4
211,IGHV4-30-2*01,1
233,IGHV3/OR16-8*02,1
205,IGHV4-59*08,4
212,IGHV4/OR15-8*03,2
209,IGHV1-f*01,2
211,IGHV4-61*08,12
233,IGHV3-23*04,59
239,IGHV3-21*03,5
209,IGHV4-39*02,2
230,IGHV1-2*03,1
211,IGHV4-61*02,8
239,IGHV5-78*01,6
236,IGHV3-66*04,10
206,IGHV1-8*91,6
209,IGHV1-24*01,2
131,IGHV4-59*09,3
230,IGHV3-9*02,33
251,IGHV3-53*04,1
206,IGHV3-33*06,1
206,IGHV1/OR15-3*02,1
236,IGHV1/OR15-3*03,1
209,IGHV4/OR15-8*03,10
155,IGHV4-34*13,2
209,IGHV4-30-2*91,2
236,IGHV1-8*91,15
200,IGHV3-9*02,4
215,IGHV1/OR15-2*03,10
242,IGHV2-70*12,5
209,IGHV5-a*04,1
209,IGHV4-61*03,1
254,IGHV3-NL1*01,6
236,IGHV3-20*91,5
218,IGHV3-66*01,1
242,IGHV6-1*02,1
215,IGHV1/OR15-1*04,5
206,IGHV3-73*02,3
206,IGHV1-46*03,4
206,IGHV3/OR16-12*01,1
206,IGHV1-69*13,82
224,IGHV4-61*02,1
236,IGHV3-h*01,160
239,IGHV1-f*01,3
260,IGHV1/OR21-1*01,1
205,IGHV3-h*01,15
209,IGHV3-66*01,1
206,IGHV4/OR15-8*03,6
209,IGHV3-48*02,3
215,IGHV4-39*02,1
230,IGHV3-20*91,27
140,IGHV4-30-4*06,6
203,IGHV4-34*09,1
212,IGHV3-74*03,1
173,IGHV4-4*91,1
238,IGHV3-33*02,1
239,IGHV3-9*91,4
188,IGHV1-69*10,19
233,IGHV1-2*03,1
236,IGHV4-61*02,44
238,IGHV3-23*04,1
203,IGHV4/OR15-8*03,3
233,IGHV3-h*02,46
221,IGHV3-NL1*01,121
230,IGHV3-20*01,4
209,IGHV3-11*01,4
224,IGHV4-61*08,2
209,IGHV3-33*05,3
239,IGHV3-71*01,11
209,IGHV3-43*02,1
209,IGHV3-49*05,1
230,IGHV3-43*02,5
239,IGHV3-43*91,9
212,IGHV3-53*02,1
242,IGHV3-71*01,15
215,IGHV3-72*01,1
203,IGHV4-4*07,18
212,IGHV4-55*08,1
212,IGHV1/OR15-4*01,7
215,IGHV1-69*13,20
236,IGHV1-24*01,9
212,IGHV1-18*03,1
200,IGHV5-51*03,1
197,IGHV3-13*04,2
170,IGHV4-59*09,2
188,IGHV1-8*02,2
221,IGHV1/OR15-2*03,4
212,IGHV1-69*10,2
233,IGHV4/OR15-8*03,96
239,IGHV3-33*06,25
208,IGHV3-33*06,3
233,IGHV3/OR16-15*02,1
203,IGHV3-33*06,1
185,IGHV3-53*03,1
188,IGHV1-3*01,2
188,IGHV3-74*03,1
260,IGHV3-71*01,3
236,IGHV5-51*02,3
221,IGHV4/OR15-8*03,2
209,IGHV4-59*10,4
243,IGHV3-71*02,1
251,IGHV3-66*03,1
224,IGHV3-71*01,1
208,IGHV1-3*02,4
224,IGHV1-8*91,1
221,IGHV3-43*02,1
212,IGHV3-h*02,2
245,IGHV1/OR15-3*02,2
206,IGHV3-h*02,80
230,IGHV3-53*04,2
242,IGHV4-59*91,1
224,IGHV3-NL1*01,1
242,IGHV3-49*05,2
230,IGHV1-8*91,1
224,IGHV3-h*01,2
215,IGHV1-18*01,64
239,IGHV1-69*13,15
230,IGHV4-34*09,1
202,IGHV4/OR15-8*03,1
239,IGHV2-5*91,2
243,IGHV3-73*02,1
160,IGHV4-34*13,1
212,IGHV1-2*03,1
239,IGHV3-62*01,1
230,IGHV3-47*01,1
251,IGHV4/OR15-8*03,4
233,IGHV3-NL1*01,25
209,IGHV1/OR15-2*01,1
208,IGHV3-9*02,13
139,IGHV4-61*06,5
209,IGHV3-64*02,1
227,IGHV3-15*07,8
197,IGHV3-23*02,2
188,IGHV3-64*04,1
139,IGHV4-30-4*06,29
200,IGHV3-23*04,76
245,IGHV3-15*05,6
221,IGHV1-69*13,10
203,IGHV1-69*10,1
215,IGHV3-73*02,7
218,IGHV3-33*02,1
218,IGHV3-h*01,1
248,IGHV2/OR16-5*01,1
205,IGHV3-66*03,2
239,IGHV1-18*01,49
236,IGHV3-71*02,1
212,IGHV3/OR16-12*01,2
239,IGHV3-9*02,71
218,IGHV3-66*03,22
200,IGHV3-33*05,48
194,IGHV3-72*01,7
227,IGHV4-61*08,1
233,IGHV1-18*01,1
200,IGHV3-11*01,20
205,IGHV4-59*03,2
236,IGHV3-33*06,6
218,IGHV4-61*08,1
245,IGHV4/OR15-8*03,7
218,IGHV5-51*02,14
206,IGHV4/OR15-8*02,4
208,IGHV5-51*02,15
212,IGHV1-24*01,1
212,IGHV1-45*01,1
218,IGHV5-a*04,4
200,IGHV3-23*03,22
212,IGHV3-NL1*01,1
211,IGHV4-39*01,1
200,IGHV3-48*01,5
143,IGHV4-61*07,5
218,IGHV3-h*02,4
208,IGHV3/OR16-13*91,1
161,IGHV4-4*91,1
233,IGHV1-46*02,10
209,IGHV4-61*08,13
230,IGHV3-66*01,1
200,IGHV3-33*02,2
227,IGHV3-h*01,4
200,IGHV3-74*03,69
224,IGHV3-49*05,4
197,IGHV3/OR16-10*03,3
224,IGHV5-51*04,1
200,IGHV3-66*03,3
209,IGHV3-33*03,2
215,IGHV4-61*02,12
209,IGHV3/OR16-9*01,1
236,IGHV1-69*13,1
239,IGHV4-61*08,2
230,IGHV3-9*91,1
227,IGHV1-46*02,1
206,IGHV1-2*04,6
206,IGHV3-74*03,2
239,IGHV3-20*91,33
236,IGHV3-h*02,188
229,IGHV3-30*15,1
