gene,cyst_position,tryp_position,phen_position,aligned_seq
IGKJ3*01,,,7,
IGKJ3*02,,,7,
IGKJ5*01,,,7,
IGKJ4*01,,,7,
IGKJ1*02,,,6,
IGKJ4*02,,,7,
IGKJ2*03,,,8,
IGKJ2*02,,,8,
IGKJ2*01,,,8,
IGKJ1*01,,,7,
IGKV11-125*01,261,,,
IGKV8-24*01,279,,,
IGKV15-103*01,261,,,
IGKV8-28*01,279,,,
IGKV4-52*01,258,,,
IGKV8-28*02,279,,,
IGKV9-129*01,261,,,
IGKV4-50*01,258,,,
IGKV10-94*08,261,,,
IGKV3-1*01,273,,,
IGKV10-94*04,261,,,
IGKV10-94*05,261,,,
IGKV10-94*06,261,,,
IGKV10-94*07,261,,,
IGKV10-94*01,261,,,
IGKV10-94*02,261,,,
IGKV10-94*03,261,,,
IGKV-XQ62*x,264,,,
IGKV-SEEI*x,264,,,
IGKV-CNF2*x,258,,,
IGKV3-10*01,273,,,
IGKV8-30*01,279,,,
IGKV8-26*01,279,,,
IGKV-UJS6*x,261,,,
IGKV4-92*01,264,,,
IGKV12-46*01,261,,,
IGKV14-126*01,261,,,
IGKV20-101-2*01,258,,,
IGKV-ZTTC*x,264,,,
IGKV5-43*01,261,,,
IGKV6-17*01,261,,,
IGKV13-85*03,256,,,
IGKV13-85*02,256,,,
IGKV12-e*01,261,,,
IGKV3-5*01,273,,,
IGKV8-16*01,279,,,
IGKV6-25*01,261,,,
IGKV8-18*01,279,,,
IGKV10-96*02,261,,,
IGKV10-96*03,261,,,
IGKV10-96*01,261,,,
IGKV10-96*06,261,,,
IGKV10-96*04,261,,,
IGKV1-88*01,276,,,
IGKV6-29*01,261,,,
IGKV4-63*01,258,,,
IGKV3-3*01,273,,,
IGKV6-15*01,261,,,
IGKV10-95*01,261,,,
IGKV2-109*01,276,,,
IGKV4-80*01,258,,,
IGKV4-78*01,264,,,
IGKV5-48*01,261,,,
IGKV4-59*01,258,,,
IGKV6-32*01,261,,,
IGKV17-127*01,261,,,
IGKV1-133*01,276,,,
IGKV17-121*01,261,,,
IGKV4-81*01,264,,,
IGKV2-109*02,276,,,
IGKV19-93*01,261,,,
IGKV19-93*02,261,,,
IGKV1-35*01,276,,,
IGKV4-55*01,258,,,
IGKV4-71*01,258,,,
IGKV2-109*04,276,,,
IGKV12-98*01,261,,,
IGKV12-38*01,261,,,
IGKV4-53*01,264,,,
IGKV-VPTR*x,273,,,
IGKV12-89*01,261,,,
IGKV3-7*01,273,,,
IGKV9-123*01,261,,,
IGKV4-91*01,264,,,
IGKV17/OR19-2*01,261,,,
IGKV5-39*01,261,,,
IGKV4-74*01,264,,,
IGKV4-90*01,258,,,
IGKV6-c*01,261,,,
IGKV-YZJK*x,261,,,
IGKV1-117*01,276,,,
IGKV1-117*02,276,,,
IGKV14-100*01,261,,,
IGKV8-21*01,279,,,
IGKV12-41*01,261,,,
IGKV12-41*02,261,,,
IGKV8-27*01,279,,,
IGKV12-44*01,261,,,
IGKV4-68*01,258,,,
IGKV8-23-1*01,258,,,
IGKV2-109*03,276,,,
IGKV1-135*01,276,,,
IGKV4-73*01,264,,,
IGKV-RMIR*x,258,,,
IGKV-46A6*x,264,,,
IGKV18-36*01,261,,,
IGKV6-13*01,261,,,
IGKV3-9*01,273,,,
IGKV4-61*01,258,,,
IGKV5-37*01,261,,,
IGKV5-45*01,261,,,
IGKV1-122*01,276,,,
IGKV3-12*01,273,,,
IGKV-ZLYT*x,261,,,
IGKV4-70*01,258,,,
IGKV3-4*01,273,,,
IGKV4-57-1*01,264,,,
IGKV4-79*01,264,,,
IGKV4-51*01,264,,,
IGKV4-54*01,258,,,
IGKV4-86*01,258,,,
IGKV4-58*01,264,,,
IGKV1-132*01,276,,,
IGKV2-a*01,276,,,
IGKV6-14*01,261,,,
IGKV4-57*01,258,,,
IGKV-77PF*x,258,,,
IGKV17/OR16-3*01,261,,,
IGKV-DRVA*x,258,,,
IGKV-MXBA*x,258,,,
IGKV2-137*01,276,,,
IGKV13-84*01,261,,,
IGKV-HSK5*x,258,,,
IGKV14-111*01,261,,,
IGKV8-19*01,279,,,
IGKV14-130*01,261,,,
IGKV1-110*01,276,,,
IGKV6-d*01,261,,,
IGKV-UTLD*x,258,,,
IGKV1-110*02,276,,,
IGKV6-b*01,261,,,
IGKV-CLYB*x,264,,,
IGKV4-62*01,258,,,
IGKV6-20*01,261,,,
IGKV1-99*01,276,,,
IGKV6-32*02,261,,,
IGKV16-104*01,261,,,
IGKV3-2*01,273,,,
IGKV-HCXQ*x,264,,,
IGKV7-33*01,279,,,
IGKV9-120*01,261,,,
IGKV6-23*01,261,,,
IGKV4-69*01,258,,,
IGKV2-112*02,276,,,
IGKV2-112*01,276,,,
IGKV4-72*01,258,,,
IGKV8-34*01,279,,,
IGKV1-131*01,276,,,
IGKV9-124*01,261,,,
IGKV13-85*01,261,,,
