gene,cyst_position,tryp_position,phen_position,aligned_seq
TRBJ1-1*02,,,17,
TRBJ1-1*01,,,17,
TRBJ2-5*01,,,18,
TRBJ1-7*01,,,20,
TRBJ1-4*01,,,20,
TRBJ1-4*02,,,20,
TRBJ2-3*01,,,18,
TRBJ2-4*01,,,18,
TRBJ2-2*01,,,20,
TRBJ1-5*03,,,19,
TRBJ1-5*02,,,18,
TRBJ1-5*01,,,19,
TRBJ1-2*01,,,17,
TRBJ1-3*01,,,19,
TRBJ2-7*02,,,16,
TRBJ2-1*01,,,19,
TRBJ2-7*01,,,16,
TRBJ1-6*01,,,22,
TRBV3*01,273,,,
TRBV5*05,267,,,
TRBV5*04,267,,,
TRBV5*03,267,,,
TRBV14*01,273,,,
TRBV5*01,267,,,
TRBV31*01,270,,,
TRBV31*02,270,,,
TRBV17*01,270,,,
TRBV3*02,273,,,
TRBV13-3*01,270,,,
TRBV4*01,270,,,
TRBV4*02,270,,,
TRBV23*01,273,,,
TRBV15*01,273,,,
TRBV5*02,267,,,
TRBV21*01,273,,,
TRBV24*04,273,,,
TRBV26*02,273,,,
TRBV12-2*02,270,,,
TRBV12-2*01,270,,,
TRBV13-1*01,270,,,
TRBV13-1*02,270,,,
TRBV24*03,273,,,
TRBV24*01,273,,,
TRBV12-1*02,270,,,
TRBV12-1*01,270,,,
TRBV1*02,270,,,
TRBV20*02,279,,,
TRBV20*01,279,,,
TRBV30*01,276,,,
TRBV1*01,270,,,
TRBV13-2*01,270,,,
TRBV13-2*02,261,,,
TRBV13-2*03,270,,,
TRBV13-2*04,264,,,
TRBV13-2*05,264,,,
TRBV19*03,270,,,
TRBV19*02,270,,,
TRBV19*01,270,,,
TRBV29*02,270,,,
TRBV29*01,270,,,
TRBV26*01,273,,,
TRBV16*04,273,,,
TRBV2*01,270,,,
TRBV16*02,273,,,
TRBV16*03,273,,,
TRBV16*01,273,,,
