gene,cyst_position,tryp_position,phen_position,aligned_seq
IGHJ-OMJ3*x,,14,,
IGHJ-ICAF*x,,14,,
IGHJ-SCNX*x,,20,,
IGHJ-G76U*x,,19,,
IGHV-XGYI*x,285,,,
IGHV-H2OA*x,291,,,
IGHV-LLOE*x,285,,,
IGHV-UTQI*x,285,,,
IGHV-BQCW*x,285,,,
IGHV-QL4G*x,285,,,
IGHV-QG3Z*x,285,,,
IGHV-GRWZ*x,282,,,
IGHV-3QLH*x,285,,,
IGHV-LAH4*x,285,,,
IGHV-NUDM*x,312,,,
IGHV-7MU3*x,285,,,
IGHV-UOVB*x,285,,,
IGHV-BDLN*x,285,,,
IGHV-GSBQ*x,285,,,
IGHV-4X2I*x,285,,,
IGHV-ML5T*x,285,,,
IGHV-5UNX*x,285,,,
IGHV-JACH*x,291,,,
IGHV-T3DL*x,285,,,
IGHV-5F5R*x,282,,,
IGHV-2UIT*x,285,,,
IGHV-Z6OV*x,285,,,
IGHV-PACA*x,291,,,
IGHV-X4X2*x,285,,,
IGHV-KRVC*x,288,,,
IGHV-NNFU*x,285,,,
IGHV-47EU*x,285,,,
IGHV-FM2S*x,282,,,
IGHV-IMJE*x,282,,,
IGHV-UDF7*x,278,,,
IGHV-OCOS*x,285,,,
IGHV-RNDH*x,285,,,
IGHV-WZ7P*x,282,,,
IGHV-JAPR*x,285,,,
IGHV-P2CQ*x,285,,,
IGHV-PRJX*x,291,,,
IGHV-BIQU*x,285,,,
IGHV-A3LZ*x,285,,,
IGHV-JHWS*x,285,,,
IGHV-HK55*x,285,,,
IGHV-BISP*x,285,,,
IGHV-JDDE*x,288,,,
IGHV-AICW*x,285,,,
IGHV-EBWE*x,285,,,
IGHV-PRC5*x,285,,,
IGHV-AK3H*x,291,,,
IGHV-3GCO*x,285,,,
IGHV-IZSN*x,285,,,
IGHV-OK63*x,285,,,
IGHV-TC2W*x,285,,,
IGHV-72VE*x,285,,,
IGHV-6NFG*x,285,,,
IGHV-ZD3D*x,282,,,
IGHV-4T4X*x,285,,,
IGHV-4YZL*x,285,,,
IGHV-ES4V*x,285,,,
IGHV-5LWB*x,282,,,
IGHV-RKXL*x,285,,,
IGHV-T2W5*x,285,,,
IGHV-HLLK*x,285,,,
IGHV-GHLB*x,285,,,
IGHV-2UQD*x,285,,,
IGHV-TQES*x,288,,,
IGHV-KPEP*x,285,,,
IGHV-APOU*x,285,,,
IGHV-CSIM*x,285,,,
IGHV-MG5V*x,291,,,
IGHV-JRQS*x,285,,,
IGHV-22XF*x,285,,,
IGHV-ZIT7*x,285,,,
IGHV-QFGX*x,288,,,
IGHV-37IE*x,285,,,
IGHV-3QFD*x,285,,,
IGHV-QK6G*x,285,,,
IGHV-QQ46*x,285,,,
IGHV-ZI2X*x,282,,,
IGHV-ZOKF*x,285,,,
IGHV-TUT5*x,285,,,
IGHV-DMIT*x,285,,,
IGHV-GNPX*x,291,,,
IGHV-HZPW*x,288,,,
IGHV-UJTO*x,285,,,
IGHV-ZL77*x,288,,,
IGHV-W27J*x,285,,,
IGHV-KQPM*x,285,,,
IGHV-5VOM*x,285,,,
IGHV-NY4F*x,282,,,
IGHV-RLDP*x,285,,,
IGHV-NPBL*x,285,,,
IGHV-KO4L*x,285,,,
IGHV-5O75*x,285,,,
IGHV-56YB*x,288,,,
IGHV-ZOZI*x,285,,,
IGHV-32WJ*x,288,,,
IGHV-IAEK*x,282,,,
IGHV-7BBU*x,291,,,
IGHV-F5K7*x,285,,,
IGHV-F3Z6*x,285,,,
IGHV-ZVAP*x,285,,,
IGHV-V26Z*x,282,,,
IGHV-PEXG*x,285,,,
IGHV-MGBE*x,291,,,
IGHV-QODY*x,285,,,
IGHV-G6P5*x,285,,,
IGHV-7PG3*x,285,,,
IGHV-JHQJ*x,285,,,
IGHV-5CCQ*x,285,,,
IGHV-LP2Z*x,285,,,
IGHV-SR2I*x,285,,,
IGHV-7MCI*x,291,,,
IGHV-OW3E*x,285,,,
IGHV-WO3N*x,285,,,
IGHV-EK3O*x,285,,,
IGHV-R4HE*x,288,,,
IGHV-JDYC*x,282,,,
IGHV-ZGQJ*x,285,,,
IGHV-6D76*x,285,,,
IGHV-SX5D*x,285,,,
IGHV-LPGY*x,285,,,
IGHV-RRLD*x,285,,,
IGHV-2KUO*x,285,,,
IGHV-FMN7*x,285,,,
IGHV-3GZS*x,285,,,
IGHV-HHVI*x,285,,,
IGHV-RYF3*x,288,,,
IGHV-GSYR*x,285,,,
IGHV-CFNH*x,285,,,
IGHV-FOTI*x,282,,,
IGHV-GFFP*x,285,,,
IGHV-R7KA*x,285,,,
IGHV-GPEO*x,285,,,
IGHV-6YTP*x,282,,,
IGHV-7TJA*x,285,,,
IGHV-FNCD*x,285,,,
IGHV-O4YA*x,285,,,
IGHV-GC2L*x,285,,,
IGHV-5ISV*x,288,,,
IGHV-SCRF*x,288,,,
IGHV-YEPS*x,285,,,
IGHV-BT4I*x,285,,,
IGHV-AXRQ*x,288,,,
IGHV-4L6T*x,285,,,
IGHV-AE2O*x,285,,,
IGHV-DUV7*x,285,,,
IGHV-AX4W*x,285,,,
IGHV-ID7Q*x,285,,,
IGHV-P7AN*x,282,,,
IGHV-MCP4*x,285,,,
IGHV-KRG4*x,285,,,
IGHV-TI7Q*x,288,,,
IGHV-5LN7*x,285,,,
IGHV-WN4M*x,282,,,
IGHV-4FMT*x,285,,,
IGHV-STIW*x,288,,,
IGHV-AX4R*x,285,,,
IGHV-QC3C*x,282,,,
IGHV-3AN3*x,285,,,
IGHV-ROYG*x,285,,,
