gene,cyst_position,tryp_position,phen_position,aligned_seq
TRAJ43*01,,,23,
TRAJ2*02,,,29,
TRAJ2*01,,,32,
TRAJ44*01,,,27,
TRAJ15*01,,,26,
TRAJ27*01,,,25,
TRAJ5*01,,,28,
TRAJ35*02,,,29,
TRAJ13*01,,,23,
TRAJ50*01,,,29,
TRAJ9*02,,,24,
TRAJ34*01,,,24,
TRAJ9*01,,,24,
TRAJ45*01,,,29,
TRAJ24*01,,,28,
TRAJ42*02,,,27,
TRAJ33*01,,,23,
TRAJ18*01,,,32,
TRAJ46*01,,,27,
TRAJ23*01,,,26,
TRAJ21*01,,,23,
TRAJ22*01,,,26,
TRAJ6*01,,,28,
TRAJ32*02,,,31,
TRAJ41*01,,,21,
TRAJ19*01,,,27,
TRAJ29*01,,,26,
TRAJ32*01,,,32,
TRAJ53*01,,,32,
TRAJ11*01,,,25,
TRAJ58*01,,,29,
TRAJ45*02,,,28,
TRAJ3*01,,,28,
TRAJ7*01,,,25,
TRAJ59*01,,,27,
TRAJ12*01,,,25,
TRAJ34*02,,,24,
TRAJ52*01,,,32,
TRAJ26*01,,,26,
TRAJ49*01,,,25,
TRAJ39*01,,,29,
TRAJ25*01,,,23,
TRAJ37*01,,,26,
TRAJ38*01,,,28,
TRAJ56*01,,,29,
TRAJ21*02,,,21,
TRAJ16*01,,,27,
TRAJ42*01,,,30,
TRAJ57*01,,,29,
TRAJ30*01,,,25,
TRAJ17*01,,,29,
TRAJ20*01,,,23,
TRAJ35*01,,,28,
TRAJ4*01,,,29,
TRAJ31*01,,,23,
TRAJ40*01,,,27,
TRAJ28*01,,,31,
TRAJ48*01,,,27,
TRAJ31*02,,,23,
TRAJ47*01,,,23,
TRAJ43*02,,,23,
TRAV14D-2*01,267,,,
TRAV3-1*01,267,,,
TRAV3-1*02,267,,,
TRAV14D-2*02,187,,,
TRAV6-5*04,267,,,
TRAV21*02,261,,,
TRAV21*01,261,,,
TRAV6D-5*01,267,,,
TRAV12D-2*03,267,,,
TRAV12D-2*02,267,,,
TRAV12D-2*01,267,,,
TRAV9D-3*01,270,,,
TRAV7-5*01,264,,,
TRAV12D-2*05,237,,,
TRAV12D-2*04,267,,,
TRAV13D-3*01,261,,,
TRAV4D-3*01,258,,,
TRAV4D-3*02,258,,,
TRAV4D-3*03,258,,,
TRAV4D-3*04,258,,,
TRAV15N-1*01,273,,,
TRAV6-7*01,267,,,
TRAV13-5*01,255,,,
TRAV8D-1*02,234,,,
TRAV11*01,267,,,
TRAV11*02,267,,,
TRAV8D-1*01,264,,,
TRAV13-3*01,261,,,
TRAV13-3*02,261,,,
TRAV7-3*02,149,,,
TRAV7-3*03,264,,,
