gene,cyst_position,tryp_position,phen_position,aligned_seq
TRAJ43*01,,,20,
TRAJ2*01,,,32,
TRAJ44*01,,,29,
TRAJ15*01,,,26,
TRAJ15*02,,,26,
TRAJ40*01,,,27,
TRAJ27*01,,,25,
TRAJ5*01,,,26,
TRAJ16*01,,,26,
TRAJ13*01,,,29,
TRAJ6*01,,,28,
TRAJ50*01,,,26,
TRAJ34*01,,,24,
TRAJ9*01,,,27,
TRAJ23*01,,,29,
TRAJ24*01,,,29,
TRAJ24*02,,,29,
TRAJ23*02,,,29,
TRAJ49*01,,,22,
TRAJ18*01,,,32,
TRAJ46*01,,,29,
TRAJ47*02,,,23,
TRAJ21*01,,,21,
TRAJ22*01,,,29,
TRAJ36*01,,,25,
TRAJ61*01,,,26,
TRAJ42*01,,,32,
TRAJ41*01,,,28,
TRAJ19*01,,,26,
TRAJ29*01,,,26,
TRAJ14*01,,,18,
TRAJ53*01,,,32,
TRAJ11*01,,,26,
TRAJ58*01,,,29,
TRAJ45*01,,,32,
TRAJ48*01,,,29,
TRAJ7*01,,,25,
TRAJ59*01,,,26,
TRAJ12*01,,,26,
TRAJ52*01,,,35,
TRAJ39*01,,,29,
TRAJ32*02,,,26,
TRAJ25*01,,,26,
TRAJ37*01,,,28,
TRAJ3*01,,,28,
TRAJ13*02,,,29,
TRAJ56*01,,,28,
TRAJ37*02,,,28,
TRAJ8*01,,,26,
TRAJ30*01,,,23,
TRAJ1*01,,,28,
TRAJ54*01,,,26,
TRAJ57*01,,,29,
TRAJ32*01,,,32,
TRAJ20*01,,,23,
TRAJ10*01,,,30,
TRAJ35*01,,,25,
TRAJ4*01,,,29,
TRAJ26*01,,,26,
TRAJ33*01,,,23,
TRAJ28*01,,,32,
TRAJ31*01,,,22,
TRAJ38*01,,,28,
TRAJ47*01,,,23,
TRAJ17*01,,,29,
TRAV21*02,267,,,
TRAV21*01,267,,,
TRAV8-4*01,270,,,
TRAV39*01,264,,,
TRAV13-2*01,267,,,
TRAV24*01,267,,,
TRAV24*02,267,,,
TRAV23*01,267,,,
TRAV9-2*02,267,,,
TRAV23*03,267,,,
TRAV23*02,267,,,
TRAV23*04,264,,,
TRAV9-2*04,267,,,
TRAV17*01,264,,,
TRAV25*01,264,,,
TRAV1-2*02,176,,,
TRAV1-2*01,261,,,
TRAV12-1*01,261,,,
TRAV12-1*02,261,,,
TRAV1-1*02,261,,,
TRAV8-2*01,270,,,
TRAV8-2*02,270,,,
TRAV1-1*01,261,,,
TRAV8-4*06,204,,,
TRAV8-4*07,186,,,
TRAV8-4*04,270,,,
TRAV8-4*05,270,,,
TRAV35*02,264,,,
TRAV8-4*03,270,,,
TRAV35*01,264,,,
TRAV8-1*01,270,,,
TRAV8-1*02,250,,,
TRAV26-2*02,217,,,
TRAV26-2*01,261,,,
TRAV2*02,249,,,
TRAV2*01,249,,,
TRAV38-1*01,273,,,
TRAV38-1*03,273,,,
TRAV38-1*02,273,,,
TRAV38-1*04,273,,,
TRAV3*01,270,,,
TRAV27*01,264,,,
TRAV27*03,264,,,
TRAV27*02,264,,,
TRAV13-2*02,267,,,
TRAV10*01,267,,,
TRAV12-3*02,264,,,
TRAV12-3*01,264,,,
TRAV19*01,273,,,
TRAV13-1*02,267,,,
TRAV13-1*03,234,,,
TRAV13-1*01,267,,,
TRAV8-6*01,270,,,
TRAV8-6*02,270,,,
TRAV4*01,261,,,
TRAV26-1*02,261,,,
TRAV26-1*03,261,,,
TRAV26-1*01,261,,,
TRAV8-3*03,270,,,
TRAV8-3*02,270,,,
TRAV8-3*01,270,,,
TRAV22*01,258,,,
TRAV40*01,249,,,
TRAV8-7*01,270,,,
TRAV36*04,264,,,
TRAV36*03,264,,,
TRAV36*02,264,,,
TRAV36*01,264,,,
TRAV38-2*01,273,,,
TRAV6*03,243,,,
TRAV6*02,267,,,
TRAV6*01,267,,,
TRAV41*01,258,,,
TRAV6*06,217,,,
TRAV6*05,243,,,
TRAV6*04,243,,,
TRAV9-1*01,267,,,
TRAV20*04,261,,,
TRAV20*01,261,,,
TRAV20*02,261,,,
TRAV20*03,261,,,
TRAV34*01,264,,,
TRAV9-2*03,267,,,
TRAV29*02,267,,,
TRAV29*01,267,,,
TRAV9-2*01,267,,,
TRAV5*01,264,,,
TRAV7*01,261,,,
TRAV16*01,258,,,
TRAV12-2*01,264,,,
TRAV12-2*02,264,,,
TRAV12-2*03,240,,,
TRAV8-4*02,270,,,
TRAV14*03,273,,,
TRAV14*02,273,,,
TRAV14*01,273,,,
TRAV14*04,270,,,
TRAV30*04,230,,,
TRAV30*01,261,,,
TRAV30*03,261,,,
TRAV30*02,261,,,
TRAV18*01,264,,,
