hg19,ch17,variant,novel-alleles-note-1,novel-alleles-note-2
V7-81*01 orf,region not covered
V3-74*01,V3-74*01
V3-73*02,V3-73*02
V3-72*01,V3-72*01
V2-70*13,V2-70*01,allelic/SYN
not present,V1-69D*01,insertion
not present,V1-f*01,insertion
not present,V3-h*01 (pseudo),insertion
not present,V2-70D*04 ,insertion
V1-69*06,V1-69*06 
V3-66*03,V3-66*03
V3-64*02,V3-64*02
V4-61*08,V4-61*01,allelic/NON-SYN
V4-59*01,V4-59*01
V1-58*02,V1-58*01,allelic/NON-SYN
V3-53*01,V3-53*02,allelic/NON-SYN
V5-51*01,V5-51*01
V3-49*03,V3-49*04,allelic/NON-SYN
V3-48*02,V3-48*03,allelic/NON-SYN
V1-46*01,V1-46*01
V1-45*02,V1-45*02
V3-43*01,V3-43*01
V4-39*01,V4-39*01
V3-38*02 orf,V3-38*02 orf
V3-35*01 orf,V3-35*01 orf
V4-34*01,V4-34*01
V3-33*01,V3-33*01
V4-31*02,V4-30-2*01,complex event
V3-30*03,V3-30*18,allelic/NON-SYN
V4-28*03,V4-28*07 ,allelic/SYN,Similar to *01 (295 nt/296 nt),Variant in 1KG; rs56407212 (C/T)
V2-26*01,V2-26*01
V1-24*01,V1-24*01
V3-23*01,V3-23*04,allelic/NON-SYN
V3-21*01,V3-21*01
V3-20*01,V3-20*02 ,allelic/NON-SYN,Similar to *01 (293 nt/294 nt),Variant in 1KG; rs112170273 (NON-SYN)
V1-18*01,V1-18*04 ,allelic/SYN,Similar to *01 (293 nt/294 nt),Variant in 1KG; rs72695948 (SYN)
V3-16*02 orf,V3-16*02 orf
V3-15*01,V3-15*01 
V3-13*01,V3-13*05  ,allelic/NON-SYN
V3-11*01,V3-11*06 ,allelic/NON-SYN
V3-9*01,V5-a*03,complex event
V1-8*01,V3-64D*06 ,complex event
V3-7*01,V3-7*03,allelic/SYN
V2-5*01,V2-5*10,allelic/NON-SYN
not present,V7-4-1*01,insertion
V4-4*07,V4-4*02,allelic/NON-SYN
V1-3*02,V1-3*01,allelic/NON-SYN
V1-2*02,V1-2*04,allelic/NON-SYN
V6-1*01,V6-1*01
D1-1*01,D1-1*01
D2-2*02,D2-2*02
D3-3*01,D3-3*01
D4-4*01,D4-4*01
D5-5*01,D5-5*01
D6-6*01,D6-6*01
D1-7*01,D1-7*01
D2-8*01,D2-8*01
D3-9*01,D3-9*01
D3-10*01,D3-10*01
D4-11*01 orf,D4-11*01 orf
D5-12*01,D5-12*01
D6-13*01,D6-13*01
D1-14*01 orf,D1-14*01 orf
D2-15*01,D2-15*01
D3-16*01,D3-16*01
D4-17*01,D4-17*01
D5-18*01,D5-18*01
D6-19*01,D6-19*01
D1-20*01,D1-20*01
D2-21*02,D2-21*02
D3-22*01,D3-22*01
D4-23*01 orf,D4-23*01 orf
D5-24*01 orf,D5-24*01 orf
D6-25*01,D6-25*01
D1-26*01,D1-26*01
D7-27*01,D7-27*01
J1*01,J1*01
J2*01,J2*01
J3*02,J3*02
J4*02,J4*02
J5*02,J5*02
J6*03,J6*03
