gene,cyst_position,tryp_position,phen_position,aligned_seq
IGLV7-V4Q3*06,267,,,
IGLV5-KKTJ*05,285,,,
IGLV18-JH2N*01,264,,,
IGLV18-N5HP*08,264,,,
IGLV16-LHAH*03,258,,,
IGLV18-WFLH*06,267,,,
IGLV24-HIDS*03,285,,,
IGLV8-JHDX*01,267,,,
IGLV21-GBBF*11,285,,,
IGLV1-WZN2*01,264,,,
IGLV1-YE7M*05,264,,,
IGLV2-CVPP*05,267,,,
IGLV13-4CAZ*07,258,,,
IGLV0-5QRY*10,267,,,
IGLV0-JFFW*03,254,,,
IGLV17-BVHO*14,267,,,
IGLV5-3XUA*03,285,,,
IGLV5-5FUK*03,285,,,
IGLV0-5QRY*05,267,,,
IGLV2-M5CD*02,267,,,
IGLV6-T6U4*06,270,,,
IGLV24-HIDS*01,285,,,
IGLV4-SFME*04,273,,,
IGLV26-AKX7*01,246,,,
IGLV1-YE7M*08,264,,,
IGLV6-43U5*02,270,,,
IGLV20-R2TL*02,285,,,
IGLV11-WPZI*01,285,,,
IGLV17-OL3F*01,267,,,
IGLV1-TV5K*01,264,,,
IGLV13-7QAJ*10,258,,,
IGLV1-ANT2*06,264,,,
IGLV17-7UWK*03,267,,,
IGLV7-NDLJ*01,267,,,
IGLV12-CWPJ*05,258,,,
IGLV13-RM6H*01,258,,,
IGLV18-WFLH*07,267,,,
IGLV2-UE2U*05,267,,,
IGLV18-N5HP*06,264,,,
IGLV18-63QE*04,264,,,
IGLV1-24UP*10,264,,,
IGLV18-UUQT*08,264,,,
IGLV18-N5HP*07,264,,,
IGLV17-7UWK*11,267,,,
IGLV13-V3WL*04,258,,,
IGLV18-N5HP*04,264,,,
IGLV3-HTIG*09,258,,,
IGLV5-BNOK*04,285,,,
IGLV4-SFME*03,273,,,
IGLV13-PG6A*05,258,,,
IGLV13-4CAZ*06,258,,,
IGLV13-7QAJ*03,258,,,
IGLV18-N5HP*01,264,,,
IGLV13-PG6A*04,258,,,
IGLV1-UABS*02,264,,,
IGLV1-YE7M*09,264,,,
IGLV1-YE7M*06,264,,,
IGLV18-UUQT*03,264,,,
IGLV2-LMLE*01,267,,,
IGLV10-2LPI*01,264,,,
IGLV23-JKIO*08,273,,,
IGLV20-ETZW*01,285,,,
IGLV6-43U5*11,270,,,
IGLV6-43U5*13,270,,,
IGLV17-BVHO*15,267,,,
IGLV22-ACMF*02,258,,,
IGLV2-3NOK*03,267,,,
IGLV7-V4Q3*05,267,,,
IGLV3-LFXG*23,258,,,
IGLV18-63QE*10,267,,,
IGLV1-OISC*02,264,,,
IGLV5-5FUK*02,285,,,
IGLV23-JKIO*06,273,,,
IGLV0-5QRY*03,267,,,
IGLV18-LGGP*02,264,,,
IGLV17-BVHO*01,267,,,
IGLV3-LFXG*06,258,,,
IGLV18-ZYXA*02,264,,,
IGLV18-UUQT*05,264,,,
IGLV5-TW2C*01,285,,,
IGLV23-JKIO*10,273,,,
IGLV18-63QE*02,267,,,
IGLV6-43U5*09,270,,,
IGLV23-JKIO*04,273,,,
IGLV23-JKIO*03,273,,,
IGLV1-HYAR*01,264,,,
IGLV18-WFLH*05,267,,,
IGLV12-CWPJ*02,258,,,
IGLV21-GBBF*09,285,,,
IGLV1-ANT2*01,264,,,
IGLV3-LFXG*24,258,,,
IGLV2-M5CD*03,267,,,
IGLV15-PCOE*01,258,,,
IGLV18-UUQT*01,264,,,
IGLV19-53EQ*03,285,,,
IGLV3-LFXG*18,258,,,
IGLV9-NPLJ*01,276,,,
IGLV18-ZJ6T*04,264,,,
IGLV7-63DH*01,267,,,
IGLV1-TV5K*02,264,,,
IGLV1-UABS*12,264,,,
IGLV7-YFQ2*07,267,,,
IGLV2-4DY7*03,267,,,
IGLV4-N3KI*05,273,,,
IGLV17-7UWK*06,267,,,
IGLV18-UUQT*04,264,,,
IGLV13-7QAJ*02,258,,,
IGLV12-TZW3*05,258,,,
IGLV18-ZJ6T*05,264,,,
IGLV5-NWM6*03,285,,,
IGLV18-JH2N*09,264,,,
IGLV6-43U5*01,270,,,
IGLV7-YPNG*04,267,,,
IGLV3-HTIG*04,258,,,
IGLV0-D2KF*01,254,,,
IGLV25-QYEU*02,261,,,
IGLV3-HTIG*02,258,,,
IGLV9-DGNA*04,276,,,
IGLV0-JFFW*06,254,,,
IGLV1-OISC*04,264,,,
IGLV13-RM6H*03,258,,,
IGLV2-UE2U*07,267,,,
IGLV1-OISC*01,264,,,
IGLV2-3NOK*04,267,,,
IGLV1-SUCI*01,264,,,
IGLV5-3RO5*06,285,,,
IGLV21-GBBF*10,285,,,
IGLV5-3XUA*04,285,,,
IGLV2-CVPP*03,267,,,
IGLV13-RLBV*06,258,,,
IGLV12-LWMG*01,258,,,
IGLV17-BVHO*07,267,,,
IGLV12-RLSR*01,258,,,
IGLV16-LHAH*01,258,,,
IGLV19-53EQ*01,285,,,
IGLV2-UE2U*06,267,,,
IGLV8-JHDX*03,267,,,
IGLV13-PG6A*08,258,,,
IGLV3-LFXG*02,258,,,
IGLV17-BVHO*13,267,,,
