gene,cyst_position,tryp_position,phen_position,aligned_seq
TRGJ1*01,,,23,
TRGJ4*01,,,24,
TRGJ2*01,,,23,
TRGJ3*01,,,23,
TRGV6*04,279,,,
TRGV6*01,291,,,
TRGV6*03,291,,,
TRGV6*02,291,,,
TRGV5*01,276,,,
TRGV7*02,279,,,
TRGV7*01,279,,,
TRGV2*01,285,,,
TRGV2*03,285,,,
TRGV2*02,285,,,
TRGV2*05,220,,,
TRGV2*04,279,,,
TRGV1*04,282,,,
TRGV1*05,282,,,
TRGV1*06,276,,,
TRGV1*07,276,,,
TRGV1*01,282,,,
TRGV1*02,282,,,
TRGV1*03,282,,,
TRGV1*08,276,,,
TRGV3*02,69,,,
TRGV3*03,220,,,
TRGV3*01,285,,,
TRGV4*05,270,,,
TRGV4*04,270,,,
TRGV4*03,254,,,
TRGV4*02,279,,,
TRGV4*01,285,,,
