gene,cyst_position,tryp_position,phen_position,aligned_seq
IGLJ*x,,,7,
IGLV1-16*x,171,,,
IGLV1-17*x,177,,,
IGLV1-6*x,177,,,
IGLV1-10*x,174,,,
IGLV1-21*x,252,,,
IGLV1-15*x,255,,,
IGLV1-11*x,252,,,
IGLV1-5*x,252,,,
IGLV1-3*x,232,,,
IGLV1-4*x,144,,,
IGLV1-7*x,258,,,
IGLV1-2*x,177,,,
IGLV1-1*x,252,,,
IGLV1-21-1*x,99,,,
IGLV1-15-1*x,111,,,
IGLV1-20*x,255,,,
IGLV1-9*x,267,,,
IGLV1-8*x,258,,,
IGLV1-18*x,269,,,
IGLV1-14*x,252,,,
IGLV1-21-2*x,105,,,
IGLV1-12*x,256,,,
IGLV1-13*x,258,,,
IGLV1-23*x,252,,,
IGLV1-19*x,267,,,
IGLV1-22*x,252,,,
