gene,cyst_position,tryp_position,phen_position,aligned_seq
IGKJ3*01,,,7,
IGKJ3*02,,,7,
IGKJ5*01,,,7,
IGKJ4*01,,,7,
IGKJ1*02,,,6,
IGKJ4*02,,,7,
IGKJ2*03,,,8,
IGKJ2*02,,,8,
IGKJ2*01,,,8,
IGKJ1*01,,,7,
IGKV-4TDQ*x,264,,,
IGKV-WWXM*x,273,,,
IGKV-6MSI*x,264,,,
IGKV-VHCW*x,261,,,
IGKV-M3QM*x,273,,,
IGKV-5T6O*x,276,,,
IGKV-5FJO*x,261,,,
IGKV-EKSH*x,279,,,
IGKV-CBFT*x,261,,,
IGKV-NEUC*x,261,,,
IGKV-HWCO*x,258,,,
IGKV-XQT4*x,258,,,
IGKV-63BQ*x,264,,,
IGKV-LD2X*x,264,,,
IGKV-25S6*x,261,,,
IGKV-OM53*x,276,,,
IGKV-IDLD*x,258,,,
IGKV-TD35*x,261,,,
IGKV-4KVQ*x,261,,,
IGKV-2QEB*x,258,,,
IGKV-3X3Y*x,261,,,
IGKV-Q6O7*x,258,,,
IGKV-RNSU*x,261,,,
IGKV-SIXC*x,279,,,
IGKV-LG3C*x,264,,,
IGKV-P7MZ*x,258,,,
IGKV-YXVU*x,261,,,
IGKV-HA63*x,273,,,
IGKV-COD2*x,258,,,
IGKV-N6SE*x,276,,,
IGKV-NN4Q*x,276,,,
IGKV-VEVE*x,279,,,
IGKV-JCV5*x,258,,,
IGKV-OVFC*x,261,,,
IGKV-ROLX*x,261,,,
IGKV-VEYK*x,261,,,
IGKV-QSPM*x,261,,,
IGKV-BDYK*x,279,,,
IGKV-EVIF*x,279,,,
IGKV-NKG7*x,264,,,
IGKV-EQV2*x,273,,,
IGKV-IV2C*x,261,,,
IGKV-7UGN*x,279,,,
IGKV-EH6X*x,261,,,
IGKV-EJ7T*x,261,,,
IGKV-HT2O*x,261,,,
IGKV-MMCX*x,261,,,
IGKV-AVB4*x,261,,,
IGKV-33RB*x,276,,,
IGKV-MTW7*x,261,,,
IGKV-M6XE*x,276,,,
IGKV-KGKZ*x,273,,,
IGKV-UWOD*x,276,,,
IGKV-DW3X*x,261,,,
IGKV-KCFZ*x,261,,,
IGKV-5I4F*x,264,,,
IGKV-46A6*x,264,,,
IGKV-VOLG*x,261,,,
IGKV-SUJD*x,261,,,
IGKV-R2WP*x,273,,,
IGKV-EN2O*x,261,,,
IGKV-AR2X*x,279,,,
IGKV-WX7U*x,279,,,
IGKV-C4RM*x,264,,,
IGKV-V52Q*x,258,,,
IGKV-MXBA*x,258,,,
IGKV-XU4N*x,258,,,
IGKV-54IL*x,273,,,
IGKV-XTKB*x,261,,,
IGKV-4EYW*x,264,,,
IGKV-OHY6*x,258,,,
IGKV-CRV3*x,258,,,
IGKV-BLCV*x,261,,,
IGKV-U5CY*x,273,,,
IGKV-RDPY*x,279,,,
IGKV-Z76V*x,258,,,
IGKV-HPUE*x,261,,,
IGKV-565F*x,276,,,
IGKV-2N6Y*x,258,,,
IGKV-3ZYL*x,279,,,
IGKV-GYZG*x,261,,,
IGKV-IFJX*x,258,,,
IGKV-G5I3*x,279,,,
IGKV-AMVN*x,261,,,
IGKV-UTLD*x,258,,,
IGKV-OO5W*x,276,,,
IGKV-2UKG*x,261,,,
IGKV-A4RR*x,276,,,
IGKV-KDB5*x,261,,,
IGKV-GTW5*x,261,,,
IGKV-TWDY*x,261,,,
IGKV-6DZU*x,276,,,
IGKV-AUFH*x,261,,,
IGKV-6QAU*x,261,,,
IGKV-R3FW*x,261,,,
IGKV-7RT5*x,264,,,
IGKV-7MHY*x,261,,,
IGKV-V7SH*x,264,,,
