gene,cyst_position,tryp_position,phen_position,aligned_seq
IGKV1-IQET*06,261,,,
IGKV2-LZS4*08,276,,,
IGKV2-ZTTY*07,279,,,
IGKV3-FKIG*07,261,,,
IGKV1-HO7L*02,261,,,
IGKV1-HJDQ*15,261,,,
IGKV1-JRTN*15,261,,,
IGKV1-JRTN*27,261,,,
IGKV1-X3UN*03,261,,,
IGKV2-ZTTY*05,279,,,
IGKV1-X3UN*05,261,,,
IGKV1-JRTN*14,261,,,
IGKV2-LJWZ*01,276,,,
IGKV1-RJUR*01,261,,,
IGKV0-ZWEU*04,270,,,
IGKV3-AOP2*02,261,,,
IGKV1-ZIOR*03,261,,,
IGKV1-MIXG*03,261,,,
IGKV1-2WKU*35,261,,,
IGKV1-2WKU*18,261,,,
IGKV1-QWTS*06,261,,,
IGKV2-CGHM*05,276,,,
IGKV1-6LII*07,261,,,
IGKV1-7CWE*15,261,,,
IGKV2-ZF2Q*01,276,,,
IGKV3-AOP2*10,261,,,
IGKV1-T2VG*03,261,,,
IGKV1-ZYRW*02,261,,,
IGKV2-HC74*06,276,,,
IGKV1-2XFG*03,261,,,
IGKV1-LKT2*13,261,,,
IGKV1-2KYC*03,261,,,
IGKV2-7LGD*05,276,,,
IGKV2-EOM2*15,279,,,
IGKV3-ATHQ*28,261,,,
IGKV1-2WKU*32,261,,,
IGKV2-WE66*09,276,,,
IGKV3-EDGP*09,261,,,
IGKV10-QHYS*08,276,,,
IGKV4-OWRA*07,279,,,
IGKV2-7TR6*03,276,,,
IGKV2-XOAA*01,276,,,
IGKV0-I3R6*06,261,,,
IGKV1-LKT2*10,261,,,
IGKV1-QWTS*08,261,,,
IGKV2-3EAT*15,276,,,
IGKV3-W3Y5*02,261,,,
IGKV1-7CWE*04,261,,,
IGKV3-W5LH*06,261,,,
IGKV2-5WB2*05,276,,,
IGKV1-LKT2*01,261,,,
IGKV1-7OW5*06,261,,,
IGKV3-AOP2*08,261,,,
IGKV3-AOP2*01,261,,,
IGKV1-KXQ5*02,261,,,
IGKV1-6BJK*02,261,,,
IGKV1-6BJK*06,261,,,
IGKV2-CGHM*06,276,,,
IGKV2-WE66*05,276,,,
IGKV3-FKIG*01,261,,,
IGKV1-JRTN*26,261,,,
IGKV0-I3R6*03,261,,,
IGKV1-EDF3*10,261,,,
IGKV1-JN7U*02,261,,,
IGKV1-C6ID*04,261,,,
IGKV3-ATHQ*25,261,,,
IGKV3-AOP2*04,261,,,
IGKV1-CQ6J*11,261,,,
IGKV2-EOM2*01,279,,,
IGKV1-2WKU*11,261,,,
IGKV1-6LII*01,261,,,
IGKV9-6BQI*04,251,,,
IGKV10-YUNW*16,276,,,
IGKV1-2WKU*31,261,,,
IGKV2-WE66*03,276,,,
IGKV1-CQ6J*07,261,,,
IGKV2-5WB2*02,276,,,
IGKV1-CQ6J*10,261,,,
IGKV1-HJDQ*16,261,,,
IGKV8-IRUA*01,264,,,
IGKV2-CGHM*07,276,,,
IGKV3-TVG6*07,261,,,
IGKV1-ZLLK*06,261,,,
IGKV1-2WKU*04,261,,,
IGKV10-YUNW*11,276,,,
