gene,cyst_position,tryp_position,phen_position,aligned_seq
IGHJ4*02,,14,,
IGHJ2*01,,19,,
IGHJ3*02,,16,,
IGHJ6*02,,29,,
IGHJ5*02,,17,,
IGHJ1*01,,18,,
IGHJ6*03,,29,,
IGHV1-69*01,285,,,
IGHV1-69*02,285,,,
IGHV6-1*01,294,,,
IGHV1-69*04,285,,,
IGHV1-69*05,285,,,
IGHV1-69*06,285,,,
IGHV1-69*09,285,,,
IGHV3-74*01,285,,,
IGHV4-31*01,288,,,
IGHV2-5*02,288,,,
IGHV4-61*10,288,,,
IGHV2-5*01,288,,,
IGHV3-30-3*01,285,,,
IGHV3-43D*04,285,,,
IGHV3-43D*03,285,,,
IGHV2-70*20,288,,,
IGHV3-64*07,285,,,
IGHV3-64*01,285,,,
IGHV3-64*02,285,,,
IGHV4-59*11,282,,,
IGHV4-59*12,282,,,
IGHV4-34*01,282,,,
IGHV3-9*01,285,,,
IGHV3-49*04,291,,,
IGHV3-49*05,291,,,
IGHV1-69*13,285,,,
IGHV1-46*01,285,,,
IGHV3-49*03,291,,,
IGHV5-10-1*03,285,,,
IGHV3-30*18,285,,,
IGHV3-62*03,285,,,
IGHV1-2*06,285,,,
IGHV1-2*07,285,,,
IGHV1-2*04,285,,,
IGHV1-2*05,285,,,
IGHV1-2*02,285,,,
IGHV3-33*06,285,,,
IGHV3-33*01,285,,,
IGHV4-28*02,285,,,
IGHV3-21*07,285,,,
IGHV3-21*05,285,,,
IGHV3-21*03,285,,,
IGHV3-35*01,285,,,
IGHV3-21*01,285,,,
IGHV6-1*03,294,,,
IGHV3-16*02,285,,,
IGHV3-16*03,285,,,
IGHV3-16*04,285,,,
IGHV3-23*03,285,,,
IGHV4-28*03,285,,,
IGHV3-25*02,285,,,
IGHV3-25*03,285,,,
IGHV4-28*01,285,,,
IGHV3-30*01,285,,,
IGHV3-25*04,285,,,
IGHV3-25*05,285,,,
IGHV3-NL1*01,285,,,
IGHV3-72*01,291,,,
IGHV4-28*07,285,,,
IGHV3-73*02,291,,,
IGHV4-31*11,288,,,
IGHV3-64D*08,285,,,
IGHV3-64D*09,285,,,
IGHV1-69*i04,285,,,
IGHV4-28*05,285,,,
IGHV3-33*08,285,,,
IGHV2-70*05,288,,,
IGHV2-70*01,288,,,
IGHV1-18*01,285,,,
IGHV4-38-2*02,285,,,
IGHV4-38-2*01,285,,,
IGHV7-81*01,285,,,
IGHV4-31*03,288,,,
IGHV1-18*03,285,,,
IGHV5-10-1*01,285,,,
IGHV3-43D*i02,285,,,
IGHV3-7*03,285,,,
IGHV3-19*01,285,,,
IGHV3-7*01,285,,,
IGHV3-7*05,285,,,
IGHV3-7*04,285,,,
IGHV4-30-2*01,288,,,
IGHV4-30-2*06,288,,,
IGHV4-30-2*05,288,,,
IGHV4-59*i03,282,,,
IGHV4-59*01,282,,,
IGHV2-70*15,288,,,
IGHV4-61*11,288,,,
IGHV8-51-1*05,285,,,
IGHV3-53*05,282,,,
IGHV3-53*04,282,,,
IGHV3-53*02,282,,,
IGHV3-53*01,282,,,
IGHV3-69-1*02,282,,,
IGHV3-30*20,285,,,
IGHV3-69-1*01,282,,,
IGHV3-11*05,285,,,
IGHV3-11*04,285,,,
IGHV1-69*20,285,,,
IGHV3-11*06,285,,,
IGHV3-11*01,285,,,
IGHV3-30*04,285,,,
IGHV2-70D*04,288,,,
IGHV1-69-2*01,285,,,
IGHV3-38*01,279,,,
IGHV3-38*02,279,,,
IGHV3-38*03,279,,,
IGHV3-43*02,285,,,
IGHV3-43*01,285,,,
IGHV4-39*i03,288,,,
IGHV3-30*02,285,,,
IGHV1-45*02,285,,,
IGHV1-45*03,285,,,
IGHV3-30*03,285,,,
IGHV1-18*04,285,,,
IGHV5-51*07,285,,,
IGHV5-51*06,285,,,
IGHV4-61*02,288,,,
IGHV5-51*03,285,,,
IGHV5-51*01,285,,,
IGHV2-70D*14,288,,,
IGHV3-47*02,282,,,
IGHV3-9*03,285,,,
IGHV3-47*01,282,,,
IGHV2-26*04,288,,,
IGHV2-26*02,288,,,
IGHV2-26*01,288,,,
IGHV7-4-1*02,285,,,
IGHV3-21*06,285,,,
IGHV3-38-3*01,279,,,
IGHV7-4-1*04,285,,,
IGHV7-4-1*05,285,,,
IGHV3-66*03,282,,,
IGHV3-66*02,282,,,
IGHV3-66*01,282,,,
IGHV3-13*i01,282,,,
IGHV4-4*01,285,,,
IGHV1-3*01,285,,,
IGHV1-3*02,285,,,
IGHV1-3*05,285,,,
IGHV1-3*04,285,,,
IGHV1-8*01,285,,,
IGHV1-8*02,285,,,
IGHV1-8*03,285,,,
IGHV3-13*05,282,,,
IGHV3-13*04,282,,,
IGHV8-51-1*04,285,,,
IGHV4-61*i04,288,,,
IGHV8-51-1*02,285,,,
IGHV8-51-1*03,285,,,
IGHV1-24*01,285,,,
IGHV3-30*i02,285,,,
IGHV4-30-4*07,288,,,
IGHV4-30-4*01,288,,,
IGHV4-NL1*01,282,,,
IGHV4-30-4*08,288,,,
IGHV3-64D*06,285,,,
IGHV3-35*02,285,,,
IGHV4-4*10,285,,,
IGHV3-20*04,285,,,
IGHV4-39*07,288,,,
IGHV3-73*01,291,,,
IGHV4-39*01,288,,,
IGHV3-20*02,285,,,
IGHV4-39*08,288,,,
