gene,cyst_position,tryp_position,phen_position,aligned_seq
IGHJ*x,,23,,
IGHV1-1*x,285,,,
IGHV1-79*x,285,,,
IGHV1-56*x,285,,,
IGHV1-61*x,288,,,
IGHV1-67*x,285,,,
IGHV1-9*x,285,,,
IGHV1-54*x,285,,,
IGHV1-74*x,285,,,
IGHV1-65*x,284,,,
IGHV1-61-1*x,285,,,
IGHV1-68*x,285,,,
IGHV1-45*x,285,,,
IGHV1-71*x,283,,,
IGHV1-47*x,285,,,
IGHV1-41*x,285,,,
IGHV1-63*x,285,,,
IGHV1-58*x,285,,,
IGHV1-29D*x,36,,,
IGHV1-61-2*x,282,,,
IGHV1-83*x,81,,,
IGHV1-6*x,285,,,
IGHV1-22*x,285,,,
IGHV1-37*x,285,,,
IGHV1-78*x,288,,,
IGHV1-20*x,285,,,
IGHV1-39*x,285,,,
IGHV1-17*x,285,,,
IGHV1-76*x,285,,,
IGHV1-70*x,284,,,
IGHV1-82*x,285,,,
IGHV1-69*x,284,,,
IGHV1-15*x,285,,,
IGHV1-72*x,285,,,
IGHV1-80*x,285,,,
IGHV1-59*x,285,,,
IGHV1-7*x,285,,,
IGHV1-35*x,285,,,
IGHV1-25*x,285,,,
IGHV1-23*x,285,,,
IGHV1-28*x,285,,,
IGHV1-18*x,285,,,
IGHV1-31*x,285,,,
IGHV1-36*x,285,,,
IGHV1-62D-4*x,289,,,
IGHV1-62D-3*x,285,,,
IGHV1-26*x,282,,,
IGHV1-21*x,285,,,
IGHV1-48*x,285,,,
IGHV1-62D-1*x,289,,,
IGHV1-51*x,282,,,
IGHV1-24*x,289,,,
IGHV1-38*x,285,,,
IGHV1-29N*x,36,,,
IGHV1-10*x,285,,,
IGHV1-16*x,285,,,
IGHV1-53*x,285,,,
IGHV1-13*x,285,,,
IGHV1-14*x,282,,,
IGHV1-42*x,288,,,
IGHV1-11*x,285,,,
IGHV1-19*x,285,,,
IGHV1-81*x,285,,,
IGHV1-4*x,285,,,
IGHV1-73*x,288,,,
IGHV1-55*x,285,,,
IGHV1-28N*x,285,,,
IGHV1-2*x,285,,,
IGHV1-29*x,36,,,
IGHV1-53-1*x,36,,,
IGHV1-59-1*x,36,,,
IGHV1-30*x,285,,,
IGHV1-57*x,285,,,
IGHV1-50*x,285,,,
IGHV1-49*x,285,,,
IGHV1-62D-2*x,285,,,
IGHV1-66*x,284,,,
IGHV1-32*x,285,,,
IGHV1-34*x,285,,,
IGHV1-8*x,285,,,
IGHV1-75*x,285,,,
IGHV1-62D*x,285,,,
IGHV1-77*x,285,,,
IGHV1-30N*x,285,,,
IGHV1-46*x,285,,,
IGHV1-28D*x,284,,,
IGHV1-40*x,285,,,
IGHV1-44*x,285,,,
IGHV1-43*x,285,,,
IGHV1-12*x,285,,,
IGHV1-3*x,285,,,
IGHV1-62*x,285,,,
IGHV1-30D*x,285,,,
IGHV1-5*x,285,,,
IGHV1-60*x,285,,,
