gene,cyst_position,tryp_position,phen_position,aligned_seq
IGHJ-32C2*x,,19,,
IGHJ-TXGH*x,,20,,
IGHJ-7IA7*x,,14,,
IGHJ-OHJS*x,,14,,
IGHV-FVAY*x,285,,,
IGHV-KXVP*x,285,,,
IGHV-KYSD*x,291,,,
IGHV-P776*x,285,,,
IGHV-JP5X*x,285,,,
IGHV-ZPQB*x,285,,,
IGHV-IJUM*x,285,,,
IGHV-MUFD*x,291,,,
IGHV-LYE5*x,285,,,
IGHV-IWLP*x,285,,,
IGHV-JLLW*x,285,,,
IGHV-QSRD*x,285,,,
IGHV-CHUZ*x,285,,,
IGHV-5UXG*x,285,,,
IGHV-AKVZ*x,285,,,
IGHV-LQC3*x,288,,,
IGHV-24BS*x,285,,,
IGHV-DCMD*x,288,,,
IGHV-TOCH*x,282,,,
IGHV-NFFP*x,288,,,
IGHV-45GV*x,285,,,
IGHV-EF74*x,285,,,
IGHV-X7V4*x,285,,,
IGHV-53MT*x,291,,,
IGHV-K6AT*x,285,,,
IGHV-7SN4*x,285,,,
IGHV-MSJQ*x,285,,,
IGHV-2DPF*x,285,,,
IGHV-3XVE*x,291,,,
IGHV-3RNM*x,285,,,
IGHV-GLIW*x,285,,,
IGHV-VCP7*x,285,,,
IGHV-3F5C*x,288,,,
IGHV-SFTO*x,285,,,
IGHV-ONGD*x,285,,,
IGHV-ZP6P*x,285,,,
IGHV-4G7D*x,285,,,
IGHV-UONK*x,285,,,
IGHV-DOMX*x,285,,,
IGHV-APC4*x,291,,,
IGHV-XYWF*x,285,,,
IGHV-LUL4*x,285,,,
IGHV-N7DC*x,285,,,
IGHV-IQE5*x,285,,,
IGHV-VD6C*x,285,,,
IGHV-KAOG*x,286,,,
IGHV-HOWM*x,285,,,
IGHV-YHW2*x,288,,,
IGHV-S27U*x,285,,,
IGHV-D6VQ*x,285,,,
IGHV-4GK4*x,285,,,
IGHV-SS5A*x,291,,,
IGHV-7QHR*x,291,,,
IGHV-N4AL*x,282,,,
IGHV-2CAX*x,285,,,
IGHV-THXW*x,285,,,
IGHV-YQC3*x,285,,,
IGHV-BR2S*x,285,,,
IGHV-CZGQ*x,285,,,
IGHV-WECQ*x,285,,,
IGHV-ZCGF*x,285,,,
IGHV-2DFB*x,285,,,
IGHV-5DOY*x,282,,,
IGHV-AEY5*x,285,,,
IGHV-6IP5*x,285,,,
IGHV-W2MI*x,285,,,
IGHV-SDOY*x,285,,,
IGHV-HCH3*x,285,,,
IGHV-V6Q4*x,285,,,
IGHV-LALY*x,291,,,
IGHV-XN3Q*x,285,,,
IGHV-ZUDH*x,282,,,
IGHV-SUJW*x,282,,,
IGHV-7J6E*x,285,,,
IGHV-ZHOA*x,282,,,
IGHV-JEF2*x,282,,,
IGHV-UFPJ*x,285,,,
IGHV-OSZZ*x,312,,,
IGHV-2DN6*x,285,,,
IGHV-C2DF*x,285,,,
IGHV-HL64*x,282,,,
IGHV-4TP6*x,288,,,
IGHV-P5SS*x,288,,,
IGHV-UR5G*x,285,,,
IGHV-J564*x,285,,,
IGHV-CU5J*x,285,,,
IGHV-LBE2*x,285,,,
IGHV-OBLP*x,285,,,
IGHV-LNOF*x,285,,,
IGHV-COKC*x,282,,,
IGHV-D4D7*x,285,,,
IGHV-XUCW*x,285,,,
IGHV-KXID*x,291,,,
IGHV-W52N*x,285,,,
IGHV-EM72*x,285,,,
IGHV-6CYM*x,285,,,
IGHV-7MDE*x,285,,,
IGHV-A6UB*x,285,,,
IGHV-COSL*x,285,,,
IGHV-ORJY*x,285,,,
IGHV-PCIZ*x,282,,,
IGHV-QUNY*x,285,,,
