v_gene,d_gene,j_gene,cdr3_length,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,vd_insertion,dj_insertion,count
IGHV3-h*01,IGHD3-16*01,IGHJ3*01_F,75,236,0,7,5,4,0,10,14,1
IGHV3-NL1*01,IGHD3-3*02,IGHJ6*03_F,57,221,1,10,13,0,0,1,6,1
IGHV3-30*13,IGHD2-8*02,IGHJ4*02_F,57,221,0,11,6,1,0,10,6,1
IGHV3-33*06,IGHD2-2*03,IGHJ5*02_F,57,221,1,5,3,5,0,3,6,1
IGHV4-30-4*06,IGHD2-21*01,IGHJ1*01_F,39,134,2,3,9,6,1,0,0,1
IGHV3-23*04,IGHD2-8*02,IGHJ5*02_F,57,221,1,1,3,10,0,7,3,2
IGHV3-23*04,IGHD2-2*03,IGHJ4*02_F,57,221,1,10,2,5,0,8,8,4
IGHV3-23*04,IGHD2-2*03,IGHJ3*02_F,57,221,2,5,4,0,0,7,0,1
IGHV3-NL1*01,IGHD4-23*01,IGHJ5*02_F,57,221,6,0,0,2,0,8,7,3
IGHV3-23*04,IGHD5-24*01,IGHJ4*02_F,57,221,0,0,1,0,0,6,4,1
IGHV3-66*04,IGHD3-10*01,IGHJ2*01_F,57,218,1,6,3,5,0,5,3,2
IGHV3-23*04,IGHD3-10*01,IGHJ6*03_F,57,221,0,4,4,13,0,2,2,1
IGHV3-h*02,IGHD2-15*01,IGHJ3*02_F,45,206,0,11,7,1,0,3,0,1
IGHV3-23*04,IGHD2-2*03,IGHJ4*02_F,57,221,0,7,2,4,0,7,4,1
IGHV3-64*04,IGHD5-12*01,IGHJ6*03_F,57,221,0,9,2,7,0,2,7,1
IGHV4-30-4*06,IGHD5-24*01,IGHJ6*02_F,69,164,1,3,2,1,0,6,7,1
IGHV3-23*04,IGHD5-24*01,IGHJ6*02_F,57,221,0,7,0,5,0,5,1,1
IGHV3-64*04,IGHD3-22*01,IGHJ4*02_F,57,221,0,3,9,2,0,12,0,4
