gene,cyst_position,tryp_position,phen_position,aligned_seq
TRBJ2-3*01,,,18,
TRBJ1-1*01,,,17,
TRBJ2-5*01,,,17,
TRBJ1-4*01,,,20,
TRBJ1-6*02,,,22,
TRBJ2-2*01,,,20,
TRBJ2-4*01,,,19,
TRBJ2-7*01,,,16,
TRBJ1-5*01,,,19,
TRBJ1-2*01,,,17,
TRBJ2-2P*01,,,14,
TRBJ2-7*02,,,16,
TRBJ2-6*01,,,22,
TRBJ2-1*01,,,19,
TRBJ1-3*01,,,19,
TRBJ1-6*01,,,22,
TRBV6-4*01,270,,,
TRBV14*01,273,,,
TRBV14*02,273,,,
TRBV6-4*02,270,,,
TRBV5-3*01,270,,,
TRBV5-3*02,270,,,
TRBV10-3*02,270,,,
TRBV10-3*03,270,,,
TRBV10-3*01,270,,,
TRBV10-3*04,270,,,
TRBV29-1*01,276,,,
TRBV29-1*02,276,,,
TRBV29-1*03,219,,,
TRBV5-1*02,270,,,
TRBV10-1*02,270,,,
TRBV25-1*01,270,,,
TRBV27*01,270,,,
TRBV4-1*01,270,,,
TRBV4-1*02,243,,,
TRBV5-8*02,226,,,
TRBV16*01,273,,,
TRBV5-4*04,180,,,
TRBV12-4*02,273,,,
TRBV5-4*01,270,,,
TRBV5-4*02,270,,,
TRBV5-4*03,222,,,
TRBV12-3*01,273,,,
TRBV20-1*01,279,,,
TRBV6-6*05,270,,,
TRBV6-6*04,270,,,
TRBV6-6*03,270,,,
TRBV6-6*02,270,,,
TRBV6-6*01,270,,,
TRBV16*03,273,,,
TRBV3-1*01,270,,,
TRBV18*01,273,,,
TRBV3-1*02,270,,,
TRBV20-1*03,279,,,
TRBV20-1*02,279,,,
TRBV5-1*01,270,,,
TRBV20-1*07,279,,,
TRBV20-1*06,279,,,
TRBV20-1*05,279,,,
TRBV20-1*04,279,,,
TRBV29/OR9-2*02,276,,,
TRBV6-2*01,270,,,
TRBV29/OR9-2*01,276,,,
TRBV23-1*01,273,,,
TRBV24-1*01,270,,,
TRBV7-2*04,273,,,
TRBV7-2*01,273,,,
TRBV7-2*02,273,,,
TRBV7-2*03,273,,,
TRBV7-4*01,273,,,
TRBV2*02,273,,,
TRBV2*03,273,,,
TRBV2*01,273,,,
TRBV24/OR9-2*01,270,,,
TRBV7-1*01,273,,,
TRBV5-6*01,270,,,
TRBV15*03,270,,,
TRBV15*02,270,,,
TRBV15*01,270,,,
TRBV11-1*01,273,,,
TRBV6-1*01,270,,,
TRBV13*01,270,,,
TRBV13*02,270,,,
TRBV7-9*01,273,,,
TRBV4-3*02,270,,,
TRBV11-2*02,273,,,
TRBV11-2*03,273,,,
TRBV11-2*01,273,,,
TRBV7-9*02,273,,,
TRBV6-8*01,267,,,
TRBV12-5*01,273,,,
TRBV5-8*01,270,,,
TRBV23/OR9-2*02,231,,,
TRBV7-6*01,273,,,
TRBV7-6*02,273,,,
TRBV5-5*03,270,,,
TRBV5-5*02,270,,,
TRBV5-5*01,270,,,
TRBV7-9*05,273,,,
TRBV7-9*04,273,,,
TRBV7-9*07,189,,,
TRBV7-9*06,273,,,
TRBV4-2*01,270,,,
TRBV7-9*03,273,,,
TRBV4-2*02,270,,,
TRBV17*01,273,,,
TRBV12-4*01,273,,,
TRBV6-9*01,270,,,
TRBV6-5*01,270,,,
TRBV7-8*02,273,,,
TRBV4-3*03,270,,,
TRBV28*01,270,,,
TRBV4-3*01,270,,,
TRBV4-3*04,219,,,
TRBV7-3*05,219,,,
TRBV7-3*04,273,,,
TRBV7-3*03,273,,,
TRBV7-3*02,273,,,
TRBV7-3*01,273,,,
TRBV10-1*01,270,,,
TRBV7-7*02,273,,,
TRBV7-7*01,273,,,
TRBV7-8*03,273,,,
TRBV7-8*01,273,,,
TRBV30*02,270,,,
TRBV30*01,270,,,
TRBV30*04,264,,,
TRBV30*05,270,,,
TRBV9*03,270,,,
TRBV9*02,270,,,
TRBV9*01,270,,,
TRBV6-7*01,270,,,
TRBV19*03,270,,,
TRBV19*02,270,,,
TRBV19*01,270,,,
TRBV11-3*01,273,,,
TRBV11-3*03,257,,,
TRBV11-3*02,273,,,
TRBV20/OR9-2*01,279,,,
TRBV20/OR9-2*03,279,,,
TRBV20/OR9-2*02,279,,,
TRBV10-2*01,270,,,
TRBV10-2*02,217,,,
TRBV5-7*01,270,,,
