gene,functionality
IGHV1-18*01,F
IGHV1-18*02,F
IGHV1-18*03,F
IGHV1-18*04,F
IGHV1-2*01,F
IGHV1-2*02,F
IGHV1-2*03,F
IGHV1-2*04,F
IGHV1-2*05,F
IGHV1-24*01,F
IGHV1-3*01,F
IGHV1-3*02,F
IGHV1-38-4*01,ORF
IGHV1-45*01,F
IGHV1-45*02,F
IGHV1-45*03,F
IGHV1-46*01,F
IGHV1-46*02,F
IGHV1-46*03,F
IGHV1-58*01,F
IGHV1-58*02,F
IGHV1-68*01,P
IGHV1-69*01,F
IGHV1-69*02,F
IGHV1-69*03,F
IGHV1-69*04,F
IGHV1-69*05,F
IGHV1-69*06,F
IGHV1-69*07,F
IGHV1-69*08,F
IGHV1-69*09,F
IGHV1-69*10,F
IGHV1-69*11,F
IGHV1-69*12,F
IGHV1-69*13,F
IGHV1-69*14,F
IGHV1-69*15,F
IGHV1-69*16,F
IGHV1-69-2*01,F
IGHV1-69-2*02,F
IGHV1-8*01,F
IGHV1-8*02,F
IGHV1-8*03,F
IGHV1-NL1*01,P
IGHV1/OR15-1*01,ORF
IGHV1/OR15-1*02,ORF
IGHV1/OR15-1*03,ORF
IGHV1/OR15-1*04,ORF
IGHV1/OR15-2*01,P
IGHV1/OR15-2*02,P
IGHV1/OR15-2*03,P
IGHV1/OR15-3*01,P
IGHV1/OR15-3*02,P
IGHV1/OR15-3*03,P
IGHV1/OR15-4*01,P
IGHV1/OR15-5*01,ORF
IGHV1/OR15-5*02,ORF
IGHV1/OR15-9*01,ORF
IGHV1/OR21-1*01,ORF
IGHV2-10*01,P
IGHV2-26*01,F
IGHV2-26*02,F
IGHV2-26*03,F
IGHV2-5*01,F
IGHV2-5*02,F
IGHV2-5*03,F
IGHV2-5*04,F
IGHV2-5*05,F
IGHV2-5*06,F
IGHV2-5*08,F
IGHV2-5*09,F
IGHV2-70*01,F
IGHV2-70*02,F
IGHV2-70*03,F
IGHV2-70*04,F
IGHV2-70*05,F
IGHV2-70*06,F
IGHV2-70*07,F
IGHV2-70*08,F
IGHV2-70*09,ORF
IGHV2-70*10,F
IGHV2-70*11,F
IGHV2-70*12,F
IGHV2-70*13,F
IGHV2-70*15,F
IGHV2-70*16,F
IGHV2-70*17,F
IGHV2-70D*14,F
IGHV2/OR16-5*01,ORF
IGHV3-11*01,F
IGHV3-11*03,F
IGHV3-11*04,F
IGHV3-11*05,F
IGHV3-11*06,F
IGHV3-13*01,F
IGHV3-13*02,F
IGHV3-13*03,F
IGHV3-13*04,F
IGHV3-13*05,F
IGHV3-15*01,F
IGHV3-15*02,F
IGHV3-15*03,F
IGHV3-15*04,F
IGHV3-15*05,F
IGHV3-15*06,F
IGHV3-15*07,F
IGHV3-15*08,F
IGHV3-16*01,ORF
IGHV3-16*02,ORF
IGHV3-19*01,P
IGHV3-20*01,F
IGHV3-20*02,ORF
IGHV3-21*01,F
IGHV3-21*02,F
IGHV3-21*03,F
IGHV3-21*04,F
IGHV3-22*01,P
IGHV3-22*02,P
IGHV3-23*01,F
IGHV3-23*02,F
IGHV3-23*03,F
IGHV3-23*04,F
IGHV3-23*05,F
IGHV3-25*01,P
IGHV3-25*02,P
IGHV3-25*03,P
IGHV3-25*04,ORF
