bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,0.0,,0.2408509852555
0.5,0.0,,0.2408509852555
1.5,0.05,,0.024852356406500003
2.5,0.0875,,0.031220899546499994
3.5,0.1125,,0.03457792377999999
4.5,0.025,,0.019042203230499998
5.5,0.0875,,0.031220899546499994
6.5,0.0,,0.015176444363
7.5,0.0625,,0.027204767218
8.5,0.0125,,0.015176444362999999
9.5,0.0125,,0.015176444362999999
10.5,0.0,,0.015176444363
11.5,0.0125,,0.015176444362999999
12.5,0.0,,0.015176444363
13.5,0.025,,0.019042203230499998
14.5,0.0,,0.1075640645525
15.5,0.0,,0.1075640645525
16.5,0.0,,0.0
