gene,cyst_position,tryp_position,phen_position,aligned_seq
IGLJ5*02,,,7,
IGLJ5*01,,,7,
IGLJ6*01,,,7,
IGLJ7*01,,,7,
IGLJ7*02,,,7,
IGLJ1*01,,,7,
IGLJ2*01,,,7,
IGLJ3*01,,,7,
IGLJ4*01,,,7,
IGLJ3*02,,,7,
IGLV1-40*02,267,,,
IGLV10-54*01,264,,,
IGLV11-55*02,285,,,
IGLV11-55*01,285,,,
IGLV10-54*02,264,,,
IGLV9-49*02,276,,,
IGLV6-57*02,270,,,
IGLV3-9*01,258,,,
IGLV9-49*01,276,,,
IGLV8-61*01,267,,,
IGLV2-33*01,267,,,
IGLV2-33*02,267,,,
IGLV2-33*03,267,,,
IGLV5-39*01,285,,,
IGLV1-50*01,267,,,
IGLV5-39*02,285,,,
IGLV2-18*03,267,,,
IGLV2-18*02,267,,,
IGLV2-18*01,267,,,
IGLV2-14*03,244,,,
IGLV2-14*02,267,,,
IGLV2-14*01,267,,,
IGLV3-9*02,258,,,
IGLV2-14*04,244,,,
IGLV4-60*02,273,,,
IGLV3-10*02,258,,,
IGLV4-60*01,273,,,
IGLV3-22*01,258,,,
IGLV5-45*04,285,,,
IGLV2-8*01,267,,,
IGLV2-23*01,267,,,
IGLV2-23*03,267,,,
IGLV2-23*02,267,,,
IGLV1-40*01,267,,,
IGLV1-40*03,267,,,
IGLV3-10*01,258,,,
IGLV3-16*01,258,,,
IGLV9-49*03,276,,,
IGLV2-11*01,267,,,
IGLV2-11*02,267,,,
IGLV2-11*03,244,,,
IGLV1-47*01,264,,,
IGLV1-47*02,264,,,
IGLV3-25*03,258,,,
IGLV3-1*01,258,,,
IGLV4-69*01,273,,,
IGLV3-21*01,258,,,
IGLV3-25*02,258,,,
IGLV1-51*02,264,,,
IGLV1-51*01,264,,,
IGLV3-25*01,258,,,
IGLV4-60*03,273,,,
IGLV2-18*04,267,,,
IGLV4-69*02,273,,,
IGLV8-61*03,259,,,
IGLV7-43*01,267,,,
IGLV6-57*01,270,,,
IGLV8-61*02,267,,,
IGLV1-44*01,264,,,
IGLV2-8*03,244,,,
IGLV2-8*02,267,,,
IGLV5-45*02,285,,,
IGLV3-32*01,258,,,
IGLV5-45*01,285,,,
IGLV8/OR8-1*02,267,,,
IGLV5-45*03,285,,,
IGLV7-46*01,267,,,
IGLV3-12*01,258,,,
IGLV3-12*02,258,,,
IGLV7-46*02,267,,,
IGLV1-36*01,264,,,
IGLV3-27*01,258,,,
IGLV3-19*01,258,,,
IGLV4-3*01,273,,,
IGLV3-21*02,258,,,
IGLV3-21*03,258,,,
IGLV1-41*01,264,,,
IGLV5-48*01,285,,,
IGLV5-37*01,285,,,
IGLV5-52*01,285,,,
