gene,tryp_start
IGHJ1*01_F,18
IGHJ1P*01_P,8
IGHJ2*01_F,19
IGHJ2P*01_P,20
IGHJ3*01_F,16
IGHJ3*02_F,16
IGHJ3P*01_P,16
IGHJ3P*02_P,16
IGHJ4*01_F,14
IGHJ4*02_F,14
IGHJ4*03_F,14
IGHJ5*01_F,17
IGHJ5*02_F,17
IGHJ6*01_F,29
IGHJ6*02_F,29
IGHJ6*03_F,29
IGHJ6*04_F,29
